row_label_raw,row_label_full,STT,Chỉ tiêu,2020Triệu VND,2019Triệu VND,numeric__Chỉ tiêu,numeric__2020Triệu VND,numeric__2019Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,01,01,Mua sắm tài sản cố định,(2.986.441),(926.348),,-2986441.0,-926348.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",7.874,9.075,,7874.0,9075.0
03,03,03,"Tiền chi cho thanh lý, nhượng bán tài sản cố định",(3.053),(6.315),,-3053.0,-6315.0
04,04,04,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",605.274,96.474,,605274.0,96474.0
05,05,05,"Tiền thu cổ tức và lợi nhuận được chia từ các khoảnđầu tư, góp vốn dài hạn",114.048,135.090,,114048.0,135090.0
06,06,06,Tiền thu từ cổ tức đã có quyết định từ năm trước,-,42.989,,,42989.0
II,II,II,Lưu chuyển tiền thuần cho hoạt động đầu tư,(2.262.298),(649.035),,-2262298.0,-649035.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01,01,01,Tăng vốn cổ phần từ phát hành cổ phiếu,-,1.111.088,,,1111088.0
02,02,02,Thặng dư vốn cổ phần từ phát hành cổ phiếu,-,4.995.389,,,4995389.0
03,03,03,Cổ tức đã trả cho cổ đông,(2.967.102),(2.219.483),,-2967102.0,-2219483.0
III,III,III,Lưu chuyển tiền thuần (cho)/từ hoạt động tài chính,(2.967.102),3.886.994,,-2967102.0,3886994.0
IV,IV,IV,Lưu chuyển tiền thuần trong năm,21.046.014,28.163.132,,21046014.0,28163132.0
V,V,V,Tiền và các khoản tương đương tiềntại thời điểm đầu năm,270.120.386,241.957.254,,270120386.0,241957254.0
VII,VII,VII,Tiền và các khoản tương đương tiềntại thời điểm cuối năm (Thuyết minh 35),291.166.400,270.120.386,,291166400.0,270120386.0
