row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.815.899.110.000,70.790.410.045,(902.752.100),792.790.539.128,531.279.915.909,5.209.857.222.982,3815899110000.0,70790410045.0,-902752100.0,792790539128.0,531279915909.0,5209857222982.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,257.643.359.073,257.643.359.073,,,,,257643359073.0,257643359073.0
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,(135.907.000.000),(135.907.000.000),,,,,-135907000000.0,-135907000000.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,-,110.555.000.000,(110.555.000.000),-,,,,110555000000.0,-110555000000.0,
Tái phát hành cổ phiếu quỹ,Tái phát hành cổ phiếu quỹ,Tái phát hành cổ phiếu quỹ,-,86.721.461,902.752.100,-,-,989.473.561,,86721461.0,902752100.0,,,989473561.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,(228.953.946.600),(228.953.946.600),,,,,-228953946600.0,-228953946600.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.815.899.110.000,70.877.131.506,-,903.345.539.128,313.507.328.382,5.103.629.109.016,3815899110000.0,70877131506.0,,903345539128.0,313507328382.0,5103629109016.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,17.673.416.671,17.673.416.671,,,,,17673416671.0,17673416671.0
"Trích lập Quỹ khen thưởng, phúc lợi (i)","Trích lập Quỹ khen thưởng, phúc lợi (i)","Trích lập Quỹ khen thưởng, phúc lợi (i)",-,-,-,-,(145.039.750.000),(145.039.750.000),,,,,-145039750000.0,-145039750000.0
Trích lập Quỹ đầu tư phát triển (i),Trích lập Quỹ đầu tư phát triển (i),Trích lập Quỹ đầu tư phát triển (i),-,-,-,15.000.000.000,(15.000.000.000),-,,,,15000000000.0,-15000000000.0,
Chia cổ tức bằng tiền (i),Chia cổ tức bằng tiền (i),Chia cổ tức bằng tiền (i),-,-,-,-,(152.635.964.400),(152.635.964.400),,,,,-152635964400.0,-152635964400.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.815.899.110.000,70.877.131.506,-,918.345.539.128,18.505.030.653,4.823.626.811.287,3815899110000.0,70877131506.0,,918345539128.0,18505030653.0,4823626811287.0
