row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,"Phương tiện vận tải, thiết bị truyền dẫn",Thiết bị văn phòng,Tài sản khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,"numeric__Phương tiện vận tải, thiết bị truyền dẫn",numeric__Thiết bị văn phòng,numeric__Tài sản khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.566.785.733.739,9.148.696.585.878,326.721.225.475,57.066.067.242,697.459.364.166,13.796.728.976.500,3566785733739.0,9148696585878.0,326721225475.0,57066067242.0,697459364166.0,13796728976500.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,289.400.000,86.348.215.904,11.529.178.452,2.644.807.037,-,100.811.601.393,289400000.0,86348215904.0,11529178452.0,2644807037.0,,100811601393.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,2.640.538.734,5.869.526.645,-,-,-,8.510.065.379,2640538734.0,5869526645.0,,,,8510065379.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(5.765.106.152),(3.757.325.960),(950.308.531),-,(10.472.740.643),,-5765106152.0,-3757325960.0,-950308531.0,,-10472740643.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,3.569.715.672.473,9.235.149.222.275,334.493.077.967,58.760.565.748,697.459.364.166,13.895.577.902.629,3569715672473.0,9235149222275.0,334493077967.0,58760565748.0,697459364166.0,13895577902629.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.798.170.887.964,5.953.473.688.103,289.174.287.508,42.010.837.298,379.329.043.691,8.462.158.744.564,1798170887964.0,5953473688103.0,289174287508.0,42010837298.0,379329043691.0,8462158744564.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,110.279.298.664,401.000.175.397,7.079.894.952,3.895.876.659,24.149.621.736,546.404.867.408,110279298664.0,401000175397.0,7079894952.0,3895876659.0,24149621736.0,546404867408.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(5.765.106.152),(3.757.325.960),(950.308.531),-,(10.472.740.643),,-5765106152.0,-3757325960.0,-950308531.0,,-10472740643.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.908.450.186.628,6.348.708.757.348,292.496.856.500,44.956.405.426,403.478.665.427,8.998.090.871.329,1908450186628.0,6348708757348.0,292496856500.0,44956405426.0,403478665427.0,8998090871329.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.768.614.845.775,3.195.222.897.775,37.546.937.967,15.055.229.944,318.130.320.475,5.334.570.231.936,1768614845775.0,3195222897775.0,37546937967.0,15055229944.0,318130320475.0,5334570231936.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.661.265.485.845,2.886.440.464.927,41.996.221.467,13.804.160.322,293.980.698.739,4.897.487.031.300,1661265485845.0,2886440464927.0,41996221467.0,13804160322.0,293980698739.0,4897487031300.0
