row_label_raw,row_label_full,col_0,TÀI SẢN,Thuyết,Thuyết_1,Thuyết_2,Thuyết_3,numeric__TÀI SẢN,numeric__Thuyết,numeric__Thuyết_1,numeric__Thuyết_2,numeric__Thuyết_3
,,,TÀI SẢN,Mã số,minh,Số cuối năm,Số đầu năm,,,,,
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,1.941.404.131.382,2.346.363.606.197,,100.0,,1941404131382.0,2346363606197.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,606.296.854.233,674.827.796.343,,110.0,4.0,606296854233.0,674827796343.0
1.,1.,1.,Tiền,111,,606.296.854.233,624.827.796.343,,111.0,,606296854233.0,624827796343.0
2.,2.,2.,Các khoản tương đương tiền,112,,-,50.000.000.000,,112.0,,,50000000000.0
II.,II.,II.,Các khoản phải thu ngắn hạn,130,,437.988.130.588,496.952.375.036,,130.0,,437988130588.0,496952375036.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,5,278.817.009.522,260.600.402.660,,131.0,5.0,278817009522.0,260600402660.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,6,51.840.281.659,66.810.853.226,,132.0,6.0,51840281659.0,66810853226.0
3.,3.,3.,Phải thu ngắn hạn khác,136,7,107.330.839.407,169.421.775.919,,136.0,7.0,107330839407.0,169421775919.0
4.,4.,4.,Tài sản thiếu chờ xử lý,139,,-,119.343.231,,139.0,,,119343231.0
III.,III.,III.,Hàng tồn kho,140,8,838.123.507.133,1.035.617.581.103,,140.0,8.0,838123507133.0,1035617581103.0
1.,1.,1.,Hàng tồn kho,141,,874.612.129.918,1.079.857.964.218,,141.0,,874612129918.0,1079857964218.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(36.488.622.785),(44.240.383.115),,149.0,,-36488622785.0,-44240383115.0
IV.,IV.,IV.,Tài sản ngắn hạn khác,150,,58.995.639.428,138.965.853.715,,150.0,,58995639428.0,138965853715.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,9,41.966.945.099,53.198.828.212,,151.0,9.0,41966945099.0,53198828212.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,17.028.694.329,85.767.025.503,,152.0,,17028694329.0,85767025503.0
