row_label_raw,row_label_full,col_0,CHÌ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHÌ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,25,7.541.572.367.977,9.473.516.917.030,,1.0,25.0,7541572367977.0,9473516917030.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,25,492.546.249.771,555.557.558.276,,2.0,25.0,492546249771.0,555557558276.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,25,7.049.026.118.206,8.917.959.358.754,,10.0,25.0,7049026118206.0,8917959358754.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ đã cung cấp,11,26,6.445.081.350.234,8.026.070.102.681,,11.0,26.0,6445081350234.0,8026070102681.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,603.944.767.972,891.889.256.073,,20.0,,603944767972.0,891889256073.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,,5.309.389.491,5.505.020.193,,21.0,,5309389491.0,5505020193.0
7.,7.,7.,Chi phí tài chính,22,28,159.251.360.880,142.715.717.900,,22.0,28.0,159251360880.0,142715717900.0
,,,- Trong đó: Chi phí lãi vay,23,,123.733.708.971,76.281.316.272,,23.0,,123733708971.0,76281316272.0
8.,8.,8.,Chi phí bán hàng,25,29,174.002.877.569,179.031.550.328,,25.0,29.0,174002877569.0,179031550328.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,29,242.318.754.843,241.805.084.074,,26.0,29.0,242318754843.0,241805084074.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,33.681.164.171,333.841.923.964,,30.0,,33681164171.0,333841923964.0
11.,11.,11.,Thu nhập khác,31,,638.852.226,1.433.921.194,,31.0,,638852226.0,1433921194.0
12.,12.,12.,Chi phí khác,32,,10.004.490.001,11.078.820.111,,32.0,,10004490001.0,11078820111.0
13.,13.,13.,(Lỗ) khác (40=31-32),40,,(9.365.637.775),(9.644.898.917),,40.0,,-9365637775.0,-9644898917.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,24.315.526.396,324.197.025.047,,50.0,,24315526396.0,324197025047.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,30,2.840.890.858,68.486.279.049,,51.0,30.0,2840890858.0,68486279049.0
16.,16.,16.,Chi phí/(thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,30,3.801.218.867,(1.932.613.075),,52.0,30.0,3801218867.0,-1932613075.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-(51+52)),60,,17.673.416.671,257.643.359.073,,60.0,,17673416671.0,257643359073.0
