row_label_raw,row_label_full,Năm kết thúcngày 31 tháng 12 năm 2024,Quyềnsử dụng đấtTriệu VND,Phần mềmmáy vi tínhTriệu VND,KhácTriệu VND,Tổng cộngTriệu VND,numeric__Quyềnsử dụng đấtTriệu VND,numeric__Phần mềmmáy vi tínhTriệu VND,numeric__KhácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.615.561,2.143.860,1.126,4.760.547,2615561.0,2143860.0,1126.0,4760547.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,5.118,-,5.118,,5118.0,,5118.0
Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 14(a)(i)),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 14(a)(i)),Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 14(a)(i)),-,245.835,-,245.835,,245835.0,,245835.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(9.402),(299),(9.701),,-9402.0,-299.0,-9701.0
Chênh lệch tỷ giá hối đoái,Nguyên giá > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(304),2.516,-,2.212,-304.0,2516.0,,2212.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.615.257,2.387.927,827,5.004.011,2615257.0,2387927.0,827.0,5004011.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,72.410,1.700.669,800,1.773.879,72410.0,1700669.0,800.0,1773879.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,8.597,249.170,147,257.914,8597.0,249170.0,147.0,257914.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(9.394),(299),(9.693),,-9394.0,-299.0,-9693.0
Chênh lệch tỷ giá hối đoái,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,1.981,-,1.981,,1981.0,,1981.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,81.007,1.942.426,648,2.024.081,81007.0,1942426.0,648.0,2024081.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.543.151,443.191,326,2.986.668,2543151.0,443191.0,326.0,2986668.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.534.250,445.501,179,2.979.930,2534250.0,445501.0,179.0,2979930.0
