row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2024,Năm kết thúc ngày 31 tháng 12 năm 2024 > Khu vựcMiền BắcTriệu VND,Năm kết thúc ngày 31 tháng 12 năm 2024 > Khu vựcMiền TrungTriệu VND,Năm kết thúc ngày 31 tháng 12 năm 2024 > Khu vựcMiền NamTriệu VND,Năm kết thúc ngày 31 tháng 12 năm 2024 > LàoTriệu VND,Năm kết thúc ngày 31 tháng 12 năm 2024 > CampuchiaTriệu VND,Năm kết thúc ngày 31 tháng 12 năm 2024 > Tổng bộ phậnđã báo cáoTriệu VND,Năm kết thúc ngày 31 tháng 12 năm 2024 > Loại trừTriệu VND,Năm kết thúc ngày 31 tháng 12 năm 2024 > Tổng cộngTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024 > Khu vựcMiền BắcTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024 > Khu vựcMiền TrungTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024 > Khu vựcMiền NamTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024 > LàoTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024 > CampuchiaTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024 > Tổng bộ phậnđã báo cáoTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024 > Loại trừTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024 > Tổng cộngTriệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,8.668.437(5.658.467),8.458.655(4.703.108),47.682.164(30.130.914),165.834(74.440),396.544(273.007),65.371.634(40.839.936),15.382.913(15.382.913),49.988.721(25.457.023),,,,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,8.668.437(5.658.467),8.458.655(4.703.108),47.682.164(30.130.914),165.834(74.440),396.544(273.007),65.371.634(40.839.936),15.382.913(15.382.913),49.988.721(25.457.023),,,,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,3.009.970,3.755.547,17.551.250,91.394,123.537,24.531.698,-,24.531.698,3009970.0,3755547.0,17551250.0,91394.0,123537.0,24531698.0,,24531698.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,348.450,220.254,3.399.671,61.251,115.794,4.145.420,-,4.145.420,348450.0,220254.0,3399671.0,61251.0,115794.0,4145420.0,,4145420.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,3.358.420,3.975.801,20.950.921,152.645,239.331,28.677.118,-,28.677.118,3358420.0,3975801.0,20950921.0,152645.0,239331.0,28677118.0,,28677118.0
TỔNG CHI PHỊ HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHỊ HOẠT ĐỘNG,TỔNG CHI PHỊ HOẠT ĐỘNG,(1.240.904),(1.031.729),(11.374.333),(125.222),(210.201),(13.982.389),-,(13.982.389),-1240904.0,-1031729.0,-11374333.0,-125222.0,-210201.0,-13982389.0,,-13982389.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,2.117.516,2.944.072,9.576.588,27.423,29.130,14.694.729,-,14.694.729,2117516.0,2944072.0,9576588.0,27423.0,29130.0,14694729.0,,14694729.0
Chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,-,-,(2.153.766),45.816,133.586,(1.974.364),-,(1.974.364),,,-2153766.0,45816.0,133586.0,-1974364.0,,-1974364.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,2.117.516,2.944.072,7.422.822,73.239,162.716,12.720.365,-,12.720.365,2117516.0,2944072.0,7422822.0,73239.0,162716.0,12720365.0,,12720365.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,,,,,,,,
