row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2024 Triệu VND,2023 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__2024 Triệu VND,numeric__2023 Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,23,49.988.721,55.927.329,,23.0,49988721.0,55927329.0
2,2,2,Chi phí lãi và các chi phí tương tự,24,(25.457.023),(33.854.996),,24.0,-25457023.0,-33854996.0
I,I,I,Thu nhập lãi thuần,,24.531.698,22.072.333,,,24531698.0,22072333.0
3,3,3,Thu nhập từ hoạt động dịch vụ,25,6.121.237,6.136.710,,25.0,6121237.0,6136710.0
4,4,4,Chi phí hoạt động dịch vụ,25,(3.142.812),(3.518.807),,25.0,-3142812.0,-3518807.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,25,2.978.425,2.617.903,,25.0,2978425.0,2617903.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,26,1.105.728,1.099.548,,26.0,1105728.0,1099548.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,27,55.547,33.817,,27.0,55547.0,33817.0
5,5,5,Thu nhập từ hoạt động khác,28,369.016,445.447,,28.0,369016.0,445447.0
6,6,6,Chi phí hoạt động khác,28,(367.937),(118.874),,28.0,-367937.0,-118874.0
VI,VI,VI,Lãi thuần từ hoạt động khác,28,1.079,326.573,,28.0,1079.0,326573.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",29,4.641,22.837,,29.0,4641.0,22837.0
VIII,VIII,VIII,Chi phí hoạt động,30,(13.982.389),(12.889.906),,30.0,-13982389.0,-12889906.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,14.694.729,13.283.105,,,14694729.0,13283105.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,31,(1.974.364),(3.688.105),,31.0,-1974364.0,-3688105.0
XI,XI,XI,Tổng lợi nhuận trước thuế (mang sang trang sau),,12.720.365,9.595.000,,,12720365.0,9595000.0
