row_label_raw,row_label_full,Năm kết thúcngày 31 tháng 12 năm 2024,Phát sinh trong năm > Số dưđầu nămTriệu VND,Phát sinh trong năm > Số phải nộpTriệu VND,Phát sinh trong năm > Số đãnộp/cấn trừTriệu VND,Phát sinh trong năm > Điều chỉnhkhácTriệu VND,Phát sinh trong năm > Số durcuối nămTriệu VND,numeric__Phát sinh trong năm > Số dưđầu nămTriệu VND,numeric__Phát sinh trong năm > Số phải nộpTriệu VND,numeric__Phát sinh trong năm > Số đãnộp/cấn trừTriệu VND,numeric__Phát sinh trong năm > Điều chỉnhkhácTriệu VND,numeric__Phát sinh trong năm > Số durcuối nămTriệu VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,936.513,2.787.723,(2.541.467),-,1.182.769,936513.0,2787723.0,-2541467.0,,1182769.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,61.408,660.572,(667.524),(250),54.206,61408.0,660572.0,-667524.0,-250.0,54206.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,61.509,709.376,(706.797),-,64.088,61509.0,709376.0,-706797.0,,64088.0
,,,1.059.430,4.157.671,(3.915.788),(250),1.301.063,1059430.0,4157671.0,-3915788.0,-250.0,1301063.0
,,,Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,Phát sinh trong năm,,,,,
Năm kết thúcngày 31 tháng 12 năm 2023,Năm kết thúcngày 31 tháng 12 năm 2023,Năm kết thúcngày 31 tháng 12 năm 2023,Số dưđầu nămTriệu VND,Số phải nộpTriệu VND,Số đãnộp/cấn trừTriệu VND,Điều chỉnhkhácTriệu VND,Số durcuối nămTriệu VND,,,,,
Thuế thu nhập doanh nghiệp,Năm kết thúcngày 31 tháng 12 năm 2023 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(242.597),2.016.154,(840.774),3.730,936.513,-242597.0,2016154.0,-840774.0,3730.0,936513.0
Thuế giá trị gia tăng,Năm kết thúcngày 31 tháng 12 năm 2023 > Thuế giá trị gia tăng,Thuế giá trị gia tăng,132.604,525.407,(596.689),86,61.408,132604.0,525407.0,-596689.0,86.0,61408.0
Các loại thuế khác,Năm kết thúcngày 31 tháng 12 năm 2023 > Các loại thuế khác,Các loại thuế khác,71.470,728.344,(738.492),187,61.509,71470.0,728344.0,-738492.0,187.0,61509.0
,,,(38.523),3.269.905,(2.175.955),4.003,1.059.430,-38523.0,3269905.0,-2175955.0,4003.0,1059430.0
