row_label_raw,row_label_full,Tài khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc (i),31/12/2024Triệu VND,31/12/2023Triệu VND,numeric__31/12/2024Triệu VND,numeric__31/12/2023Triệu VND
▪ Bằng VND,▪ Bằng VND,▪ Bằng VND,15.064.382,10.651.247,15064382.0,10651247.0
▪ Bằng ngoại tệ,▪ Bằng ngoại tệ,▪ Bằng ngoại tệ,708.720,760.637,708720.0,760637.0
Tiền gửi tại Ngân hàng Trung Uống Lào (ii),Tiền gửi tại Ngân hàng Trung Uống Lào (ii),Tiền gửi tại Ngân hàng Trung Uống Lào (ii),312.254,376.356,312254.0,376356.0
Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),1.558.799,1.059.805,1558799.0,1059805.0
,,,17.644.155,12.848.045,17644155.0,12848045.0
