row_label_raw,row_label_full,col_0,31/12/2023Triệu VND,Được ghi nhận trong báo cáo kết quả hoạt động hợp nhấtTriệu VND,31/12/2024Triệu VND,numeric__31/12/2023Triệu VND,numeric__Được ghi nhận trong báo cáo kết quả hoạt động hợp nhấtTriệu VND,numeric__31/12/2024Triệu VND
Dự phòng tài sản cán trừ nợ chưa chuyển quyền,Dự phòng tài sản cán trừ nợ chưa chuyển quyền,Dự phòng tài sản cán trừ nợ chưa chuyển quyền,126.544,128.151,254.695,126544.0,128151.0,254695.0
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,217.617,396,218.013,217617.0,396.0,218013.0
Dự phòng rủi ro tín dụng,Dự phòng rủi ro tín dụng,Dự phòng rủi ro tín dụng,-,47.973,47.973,,47973.0,47973.0
Dự phòng tài sản cán trừ nợ đã chuyển quyền,Dự phòng tài sản cán trừ nợ đã chuyển quyền,Dự phòng tài sản cán trừ nợ đã chuyển quyền,5.603,271,5.874,5603.0,271.0,5874.0
Khẩu hao tài sản ủy thác cho thuê,Khẩu hao tài sản ủy thác cho thuê,Khẩu hao tài sản ủy thác cho thuê,4.183,-,4.183,4183.0,,4183.0
Dự phòng trái phiếu Chính phủ,Dự phòng trái phiếu Chính phủ,Dự phòng trái phiếu Chính phủ,1.441,(131),1.310,1441.0,-131.0,1310.0
Dự phòng đầu tư dài hạn khác,Dự phòng đầu tư dài hạn khác,Dự phòng đầu tư dài hạn khác,800,-,800,800.0,,800.0
Dự phòng đầu tư,Dự phòng đầu tư,Dự phòng đầu tư,20.501,(20.501),-,20501.0,-20501.0,
Khác,Khác,Khác,21.135,(11.523),9.612,21135.0,-11523.0,9612.0
,,,397.824,144.636,542.460,397824.0,144636.0,542460.0
