row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Khôngchịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Từ trên 3đến 6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Từ trên 6đến 12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Từ trên 1đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2023 > Tổng cộngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Khôngchịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Từ trên 3đến 6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Từ trên 6đến 12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Từ trên 1đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2023 > Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tài sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,7.545.270,-,-,-,-,-,-,7.545.270,,7545270.0,,,,,,,7545270.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,12.848.045,-,-,-,-,-,12.848.045,,,12848045.0,,,,,,12848045.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,49.427.687,765.342,78.018,61.924,-,-,50.332.971,,,49427687.0,765342.0,78018.0,61924.0,,,50332971.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,14.489.538,-,162.894.366,294.256.410,845.722,1.007.814,3.331.775,5.905.497,482.731.122,14489538.0,,162894366.0,294256410.0,845722.0,1007814.0,3331775.0,5905497.0,482731122.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,16.439.082,1.130.896,801.368,3.532.896,6.093.120,24.448.649,36.805.502,89.251.513,,16439082.0,1130896.0,801368.0,3532896.0,6093120.0,24448649.0,36805502.0,89251513.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,97.014,-,-,-,-,-,-,97.014,,97014.0,,,,,,,97014.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,7.269.440,-,-,-,-,-,-,7.269.440,,7269440.0,,,,,,,7269440.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,2.300.755,47.082.555,-,19.617,10.102,-,-,-,49.413.029,2300755.0,47082555.0,,19617.0,10102.0,,,,49413029.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),16.790.293,78.433.361,226.300.994,295.842.737,4.466.738,7.162.858,27.780.424,42.710.999,699.488.404,16790293.0,78433361.0,226300994.0,295842737.0,4466738.0,7162858.0,27780424.0,42710999.0,699488404.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
