row_label_raw,row_label_full,Thu nhập lãi cho vay/tiền gửi,2.654,6.800,numeric__2.654,numeric__6.800
Chỉ phí lãi tiền vay/tiền gửi,Chỉ phí lãi tiền vay/tiền gửi,Chỉ phí lãi tiền vay/tiền gửi,(12.087),(21.964),-12087.0,-21964.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,62,151,62.0,151.0
Thù lao sau thuế của Thành viên Hội đồng Quản trị,Thù lao sau thuế của Thành viên Hội đồng Quản trị,Thù lao sau thuế của Thành viên Hội đồng Quản trị,(53.129),(44.182),-53129.0,-44182.0
Thù lao sau thuế của Thành viên Ban Kiểm soát,Thù lao sau thuế của Thành viên Ban Kiểm soát,Thù lao sau thuế của Thành viên Ban Kiểm soát,(17.340),(16.994),-17340.0,-16994.0
Thu nhập sau thuế của Thành viên Ban Tổng Giám đốc,Thu nhập sau thuế của Thành viên Ban Tổng Giám đốc,Thu nhập sau thuế của Thành viên Ban Tổng Giám đốc,(88.746),(101.507),-88746.0,-101507.0
