row_label_raw,row_label_full,Năm kết thúcngày 31 tháng 12 năm 2023,Quyềnsử dụng đấtTriệu VND,Phần mềmmáy vi tínhTriệu VND,KhácTriệu VND,Tổng cộngTriệu VND,numeric__Quyềnsử dụng đấtTriệu VND,numeric__Phần mềmmáy vi tínhTriệu VND,numeric__KhácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.618.285,1.903.229,903,4.522.417,2618285.0,1903229.0,903.0,4522417.0
Tăng do mua mới và nâng cấp trongnăm,Nguyên giá > Tăng do mua mới và nâng cấp trongnăm,Tăng do mua mới và nâng cấp trongnăm,-,5.569,263,5.832,,5569.0,263.0,5832.0
Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 14(a)(i)),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 14(a)(i)),Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 14(a)(i)),-,236.862,-,236.862,,236862.0,,236862.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(1.934),-,(1.934),,-1934.0,,-1934.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,40,(40),-,,40.0,-40.0,
Chênh lệch quy đổi tỷ giá hối đoái,Nguyên giá > Chênh lệch quy đổi tỷ giá hối đoái,Chênh lệch quy đổi tỷ giá hối đoái,(2.724),94,-,(2.630),-2724.0,94.0,,-2630.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.615.561,2.143.860,1.126,4.760.547,2615561.0,2143860.0,1126.0,4760547.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,63.787,1.400.096,652,1.464.535,63787.0,1400096.0,652.0,1464535.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,8.623,302.988,148,311.759,8623.0,302988.0,148.0,311759.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(1.934),-,(1.934),,-1934.0,,-1934.0
Chênh lệch tỷ giá hối đoái,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,(481),-,(481),,-481.0,,-481.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,72.410,1.700.669,800,1.773.879,72410.0,1700669.0,800.0,1773879.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.554.498,503.133,251,3.057.882,2554498.0,503133.0,251.0,3057882.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.543.151,443.191,326,2.986.668,2543151.0,443191.0,326.0,2986668.0
