row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2024 Triệu VND,31/12/2023 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2024 Triệu VND,numeric__31/12/2023 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quỹ",4,8.214.653,7.545.270,,4.0,8214653.0,7545270.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,5,17.644.155,12.848.045,,5.0,17644155.0,12848045.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,88.241.176,50.332.971,,6.0,88241176.0,50332971.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,80.634.247,50.114.401,,,80634247.0,50114401.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,7.606.929,218.570,,,7606929.0,218570.0
VI,A > VI,VI,Cho vay khách hàng,,530.448.003,475.169.108,,,530448003.0,475169108.0
1,A > 1,1,Cho vay khách hàng,8,539.314.658,482.731.122,,8.0,539314658.0,482731122.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9,(8.866.655),(7.562.014),,9.0,-8866655.0,-7562014.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,10,85.648.177,74.635.845,,10.0,85648177.0,74635845.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,23.554.968,22.562.535,,,23554968.0,22562535.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,75.363.197,66.688.978,,,75363197.0,66688978.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(13.269.988),(14.615.668),,,-13269988.0,-14615668.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",11,82.204,82.642,,11.0,82204.0,82642.0
4,A > 4,4,Đầu tư dài hạn khác,,96.642,97.014,,,96642.0,97014.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(14.438),(14.372),,,-14438.0,-14372.0
X,A > X,X,Tài sản cố định,,7.355.128,7.269.440,,,7355128.0,7269440.0
1,A > 1,1,Tài sản cố định hữu hình,12,4.375.198,4.282.772,,12.0,4375198.0,4282772.0
\( a \),A > \( a \),\( a \),Nguyên giá,,8.871.194,8.340.278,,,8871194.0,8340278.0
\( b \),A > \( b \),\( b \),Giá trị hao mòn lũy kế,,(4.495.996),(4.057.506),,,-4495996.0,-4057506.0
3,A > 3,3,Tài sản cố định vô hình,13,2.979.930,2.986.668,,13.0,2979930.0,2986668.0
\( a \),A > \( a \),\( a \),Nguyên giá,,5.004.011,4.760.547,,,5004011.0,4760547.0
\( b \),A > \( b \),\( b \),Giá trị hao mòn lũy kế,,(2.024.081),(1.773.879),,,-2024081.0,-1773879.0
XII,A > XII,XII,Tài sản Có khác,,10.461.050,46.506.339,,,10461050.0,46506339.0
1,A > 1,1,Các khoản phải thu,14(a),6.727.957,42.027.312,,,6727957.0,42027312.0
2,A > 2,2,"Các khoản lãi, phí phải thu",14(b),5.239.563,5.686.993,,,5239563.0,5686993.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,,542.460,397.824,,,542460.0,397824.0
4,A > 4,4,Tài sản Có khác,14(c),1.488.492,1.300.900,,,1488492.0,1300900.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,14(d),(3.537.422),(2.906.690),,,-3537422.0,-2906690.0
,,,TỔNG TÀI SẢN,,748.094.546,674.389.660,,,748094546.0,674389660.0
