row_label_raw,row_label_full,CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN_1,Thuyết minh > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,31/12/2024 Triệu VND > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,31/12/2023 Triệu VND > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,numeric__CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN_1,numeric__Thuyết minh > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,numeric__31/12/2024 Triệu VND > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN,numeric__31/12/2023 Triệu VND > CÁC CHỈ TIÊU NGOÀI BẢNG CÂN ĐỐI KẾ TOÁN
1,1,1,Bảo lãnh vay vốn,34,145.561,33.598,,34.0,145561.0,33598.0
2,2,2,Cam kết giao dịch hối đoái Trong đó:,34,96.982.516,122.663.800,,34.0,96982516.0,122663800.0
2,2,2,▪ Cam kết mua ngoại tệ,,2.872.223,449.709,,,2872223.0,449709.0
2,2,2,▪ Cam kết bán ngoại tệ,,1.060.117,1.103.464,,,1060117.0,1103464.0
2,2,2,▪ Cam kết giao dịch hoàn đối tiền tệ,,93.050.176,121.110.627,,,93050176.0,121110627.0
4,4,4,Cam kết trong nghiệp vụ L/C,34,7.782.191,7.075.433,,34.0,7782191.0,7075433.0
5,5,5,Bảo lãnh khác,34,12.004.614,11.272.335,,34.0,12004614.0,11272335.0
6,6,6,Lãi cho vay và phí phải thu chưa thu được,35,31.735.519,30.469.857,,35.0,31735519.0,30469857.0
7,7,7,Nợ khó đòi đã xử lý,36,9.034.321,6.676.375,,36.0,9034321.0,6676375.0
8,8,8,Tài sản và chứng từ khác,37,78.470.578,84.007.389,,37.0,78470578.0,84007389.0
