row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2023,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Phương tiệnvận chuyểnTriệu VND,KhácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND",numeric__Phương tiệnvận chuyểnTriệu VND,numeric__KhácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.617.185,3.031.551,810.798,398.039,7.857.573,3617185.0,3031551.0,810798.0,398039.0,7857573.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.533,50.887,68.097,12.564,133.081,1533.0,50887.0,68097.0,12564.0,133081.0
Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14(a)(i)),64.625,414.677,20.643,16.774,516.719,64625.0,414677.0,20643.0,16774.0,516719.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,181,-,-,-,181,181.0,,,,181.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(7.966),(80.872),(43.530),(6.234),(138.602),-7966.0,-80872.0,-43530.0,-6234.0,-138602.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(1.955),-,-,(1.955),,-1955.0,,,-1955.0
Chênh lệch quy đổi tỷ giá hối đoái,Nguyên giá > Chênh lệch quy đổi tỷ giá hối đoái,Chênh lệch quy đổi tỷ giá hối đoái,(21.291),1.938,(191),(7.175),(26.719),-21291.0,1938.0,-191.0,-7175.0,-26719.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.654.267,3.416.226,855.817,413.968,8.340.278,3654267.0,3416226.0,855817.0,413968.0,8340278.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,915.698,1.804.568,435.755,211.757,3.367.778,915698.0,1804568.0,435755.0,211757.0,3367778.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,155.210,451.340,139.796,92.591,838.937,155210.0,451340.0,139796.0,92591.0,838937.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(4.046),(78.283),(43.530),(5.788),(131.647),-4046.0,-78283.0,-43530.0,-5788.0,-131647.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,(1.955),-,-,(1.955),,-1955.0,,,-1955.0
Chênh lệch quy đổi tỷ giá hối đoái,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tỷ giá hối đoái,Chênh lệch quy đổi tỷ giá hối đoái,(11.907),1.484,(262),(4.922),(15.607),-11907.0,1484.0,-262.0,-4922.0,-15607.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.054.955,2.177.154,531.759,293.638,4.057.506,1054955.0,2177154.0,531759.0,293638.0,4057506.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.701.487,1.226.983,375.043,186.282,4.489.795,2701487.0,1226983.0,375043.0,186282.0,4489795.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.599.312,1.239.072,324.058,120.330,4.282.772,2599312.0,1239072.0,324058.0,120330.0,4282772.0
