row_label_raw,row_label_full,Họ và tên,Chức vụ,Triệu đồng,Thông tin bổ nhiệm,numeric__Chức vụ,numeric__Triệu đồng,numeric__Thông tin bổ nhiệm
Ông Trịnh Văn Tỷ,Ông Trịnh Văn Tỷ,Ông Trịnh Văn Tỷ,Chủ tịch HDQT Sacombank Cambodia,1.327,Từ nhiệm ngày 01 tháng 4 năm 2024,,1327.0,
Ông Trịnh Văn Tỷ,Ông Trịnh Văn Tỷ,Ông Trịnh Văn Tỷ,Thành viên HDQT độc lập Sacombank Lào,1.796,Từ nhiệm ngày 12 tháng 4 năm 2024,,1796.0,
Ông Trần Ngọc Cường,Ông Trần Ngọc Cường,Ông Trần Ngọc Cường,Chủ tịch HDQT Sacombank Cambodia,1.571,Bổ nhiệm ngày 01 tháng 4 năm 2024,,1571.0,
Ông Lợi Quốc Khan,Ông Lợi Quốc Khan,Ông Lợi Quốc Khan,Thành viên HDQT Sacombank Cambodia,181,Bổ nhiệm ngày 29 tháng 11 năm 2024,,181.0,
Ông Bounyou Sisane,Ông Bounyou Sisane,Ông Bounyou Sisane,Thành viên HDQT Sacombank Lào,601,Bổ nhiệm ngày 01 tháng 4 năm 2024,,601.0,
Ông Ly Rotha,Ông Ly Rotha,Ông Ly Rotha,Thành viên HDQT độc lập Sacombank Cambodia,451,Bổ nhiệm ngày 01 tháng 4 năm 2024,,451.0,
Ông Phùng Nguyễn Âu Độ,Ông Phùng Nguyễn Âu Độ,Ông Phùng Nguyễn Âu Độ,Thành viên HDQT độc lập Sacombank Cambodia,4.638,Bổ nhiệm ngày 29 tháng 11 năm 2024,,4638.0,
Ông Nguyễn Nhị Thanh,Ông Nguyễn Nhị Thanh,Ông Nguyễn Nhị Thanh,Chủ tịch HDQT Sacombank LàoPhó chủ tịch HDQT Sacombank Cambodia,3.867,Bổ nhiệm ngày 01 tháng 4 năm 2024,,3867.0,
Ông Phạm Quang Phú,Ông Phạm Quang Phú,Ông Phạm Quang Phú,Phó chủ tịch HDQT Sacombank Lào,2.622,Từ nhiệm ngày 29 tháng 11 năm 2024,,2622.0,
Ông Phan Tấn Dũng,Ông Phan Tấn Dũng,Ông Phan Tấn Dũng,Chủ tịch HDQT Sacombank SBA,3.527,Bổ nhiệm ngày 11 tháng 7 năm 2023,,3527.0,
Ông Lưu Huỳnh,Ông Lưu Huỳnh,Ông Lưu Huỳnh,Chủ tịch HDQT Sacombank SBL,1.139,Bổ nhiệm ngày 22 tháng 4 năm 2022,,1139.0,
Ông Lê Văn Bá,Ông Lê Văn Bá,Ông Lê Văn Bá,Trường Ban Kiểm soát Sacombank SBL,662,Tái bổ nhiệm ngày 21 tháng 1 năm 2021,,662.0,
Ông Đoàn Mậu Lâm,Ông Đoàn Mậu Lâm,Ông Đoàn Mậu Lâm,Thành viên Ban Kiểm soát Sacombank SBL,665,Tái bổ nhiệm ngày 21 tháng 1 năm 2021,,665.0,
Bà Bùi Thị Mai Thoa,Bà Bùi Thị Mai Thoa,Bà Bùi Thị Mai Thoa,Thành viên Ban Kiểm soát Sacombank SBL,,,,,
