row_label_raw,row_label_full,"Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Tại ngày 31 tháng 12 năm 2024","Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Quá hạnTriệu VND","Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Không chịu lãiTriệu VND","Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Dưới1 thángTriệu VND","Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Từ 1 đến3 thángTriệu VND","Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Từ trên 3đến 6 thángTriệu VND","Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Từ trên 6đến 12 thángTriệu VND","Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Từ trên 1đến 5 nămTriệu VND","Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Trên 5 nămTriệu VND","Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Tổng cộngTriệu VND","numeric__Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Quá hạnTriệu VND","numeric__Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Không chịu lãiTriệu VND","numeric__Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Dưới1 thángTriệu VND","numeric__Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Từ 1 đến3 thángTriệu VND","numeric__Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Từ trên 3đến 6 thángTriệu VND","numeric__Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Từ trên 6đến 12 thángTriệu VND","numeric__Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Từ trên 1đến 5 nămTriệu VND","numeric__Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Trên 5 nămTriệu VND","numeric__Ngân hàng Thương Mại Cổ phần Sài Gòn Thương TínSố 266-268 Nam Kỳ Khơi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2024 (tiếp theo) > Tổng cộngTriệu VND"
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,8.214.653,-,-,-,-,-,-,8.214.653,,8214653.0,,,,,,,8214653.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,1,17.644.154,-,-,-,-,-,17.644.155,,1.0,17644154.0,,,,,,17644155.0
Tiền gửi và cho vay các tổ chức tin dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tin dụng khác – gộp,Tiền gửi và cho vay các tổ chức tin dụng khác – gộp,-,-,87.761.435,104.770,324.174,50.797,-,-,88.241.176,,,87761435.0,104770.0,324174.0,50797.0,,,88241176.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,17.090.480,-,179.651.052,331.335.201,942.432,1.479.572,3.993.799,4.822.122,539.314.658,17090480.0,,179651052.0,331335201.0,942432.0,1479572.0,3993799.0,4822122.0,539314658.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,14.954.890,1.675.823,1.125.701,5.034.957,4.250.705,31.206.904,40.669.185,98.918.165,,14954890.0,1675823.0,1125701.0,5034957.0,4250705.0,31206904.0,40669185.0,98918165.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,96.642,-,-,-,-,-,-,96.642,,96642.0,,,,,,,96642.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,7.355.128,-,-,-,-,-,-,7.355.128,,7355128.0,,,,,,,7355128.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,2.240.835,11.721.601,-,-,20.645,-,15.391,-,13.998.472,2240835.0,11721601.0,,,20645.0,,15391.0,,13998472.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),19.331.315,42.342.915,286.732.464,332.565.672,6.322.208,5.781.074,35.216.094,45.491.307,773.783.049,19331315.0,42342915.0,286732464.0,332565672.0,6322208.0,5781074.0,35216094.0,45491307.0,773783049.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,1.684,2.249,3.474,6.947,39.901,-,54.255,,,1684.0,2249.0,3474.0,6947.0,39901.0,,54255.0
Tiền gửi và vay các tổ chức tin dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tin dụng khác,Tiền gửi và vay các tổ chức tin dụng khác,-,-,69.634.400,949.108,58.431,9.100,4.253,-,70.655.292,,,69634400.0,949108.0,58431.0,9100.0,4253.0,,70655292.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,199.976.876,121.606.580,127.026.851,110.802.607,7.458.016,10.884,566.881.814,,,199976876.0,121606580.0,127026851.0,110802607.0,7458016.0,10884.0,566881814.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,54.007,-,-,-,-,-,-,54.007,,54007.0,,,,,,,54007.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,1.743,-,9.255,128.785,309.226,449.009,,,,1743.0,,9255.0,128785.0,309226.0,449009.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,5.651.842,1.170.918,17.033.831,7.878.985,5.017.947,-,36.753.523,,,5651842.0,1170918.0,17033831.0,7878985.0,5017947.0,,36753523.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,18.274.576,-,-,-,-,-,-,18.274.576,,18274576.0,,,,,,,18274576.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,18.328.583,275.264.802,123.730.598,144.122.587,118.706.894,12.648.902,320.110,693.122.476,,18328583.0,275264802.0,123730598.0,144122587.0,118706894.0,12648902.0,320110.0,693122476.0
Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],19.331.315,24.014.332,11.467.662,208.835.074,(137.800.379),(112.925.820),22.567.192,45.171.197,80.660.573,19331315.0,24014332.0,11467662.0,208835074.0,-137800379.0,-112925820.0,22567192.0,45171197.0,80660573.0
