row_label_raw,row_label_full,Số dư cuối năm với các bên liên quan,31/12/2024Triệu VNDPhải thu/(phải trả),31/12/2023Triệu VND,numeric__31/12/2024Triệu VNDPhải thu/(phải trả),numeric__31/12/2023Triệu VND
Các Thành viên của Ban lãnh đạo Tập đoàn,Các Thành viên của Ban lãnh đạo Tập đoàn,Các Thành viên của Ban lãnh đạo Tập đoàn,Các Thành viên của Ban lãnh đạo Tập đoàn,Các Thành viên của Ban lãnh đạo Tập đoàn,,
Cho vay,Các Thành viên của Ban lãnh đạo Tập đoàn > Cho vay,Cho vay,87.449,164.431,87449.0,164431.0
Nhận tiền gửi,Các Thành viên của Ban lãnh đạo Tập đoàn > Nhận tiền gửi,Nhận tiền gửi,(277.317),(241.365),-277317.0,-241365.0
Chứng chỉ tiền gửi,Các Thành viên của Ban lãnh đạo Tập đoàn > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,(1.310),(1.960),-1310.0,-1960.0
Phải thu khác,Các Thành viên của Ban lãnh đạo Tập đoàn > Phải thu khác,Phải thu khác,311,1.273,311.0,1273.0
Phải trả khác,Các Thành viên của Ban lãnh đạo Tập đoàn > Phải trả khác,Phải trả khác,(2.393),(7.544),-2393.0,-7544.0
Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn,,
Cho vay,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn > Cho vay,Cho vay,4.031.507,4.020.196,4031507.0,4020196.0
Nhận tiền gửi,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn > Nhận tiền gửi,Nhận tiền gửi,(262.764),(271.632),-262764.0,-271632.0
Chứng chỉ tiền gửi,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,(21.882),(20.170),-21882.0,-20170.0
Phải thu khác,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn > Phải thu khác,Phải thu khác,24.720,25.025,24720.0,25025.0
Phải trả khác,Các bên liên quan đến các Thành viên của Ban lãnh đạo Tập đoàn > Phải trả khác,Phải trả khác,(5.377),(8.562),-5377.0,-8562.0
