row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Hà An,Phải thu ngắn hạn của khách hàng > Hà An,Hà An,Công ty trong cùng tập đoàn,Doanh thu môi giới,698.691.310.946,373.314.546.386,,,698691310946.0,373314546386.0
DXI,Phải thu ngắn hạn của khách hàng > DXI,DXI,Bên liên quan,Doanh thu môi giới,60.686.692.798,60.686.692.798,,,60686692798.0,60686692798.0
Đất Xanh Miền Nam,Phải thu ngắn hạn của khách hàng > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Doanh thu môi giới,12.410.710.132,26.915.240.640,,,12410710132.0,26915240640.0
Đất Xanh Miền Tây,Phải thu ngắn hạn của khách hàng > Đất Xanh Miền Tây,Đất Xanh Miền Tây,Công ty con,Doanh thu được chia từ HĐHTKD,1.683.733.658,1.683.733.658,,,1683733658.0,1683733658.0
Đất Xanh Miền Đông,Phải thu ngắn hạn của khách hàng > Đất Xanh Miền Đông,Đất Xanh Miền Đông,Công ty con,Doanh thu môi giới,1.293.802.383,-,,,1293802383.0,
Đất Xanh Miền Bắc,Phải thu ngắn hạn của khách hàng > Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Doanh thu môi giới,-,123.796.442,,,,123796442.0
Các công ty khác,Phải thu ngắn hạn của khách hàng > Các công ty khác,Các công ty khác,Công ty con,Doanh thu được chia từ HĐHTKD và môi giới,1.847.249.667,447.614.443,,,1847249667.0,447614443.0
,,,,,776.613.499.584,463.171.624.367,,,776613499584.0,463171624367.0
