row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,3.000.000.000.000,-,33.321.288.227,3.033.321.288.227,3000000000000.0,,33321288227.0,3033321288227.0
Tăng vốn,Năm trước > Tăng vốn,Tăng vốn,224.710.220.000,340.683.172.475,-,565.393.392.475,224710220000.0,340683172475.0,,565393392475.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,1.046.729.253.650,1.046.729.253.650,,,1046729253650.0,1046729253650.0
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,-,-,(529.800.000.000),(529.800.000.000),,,-529800000000.0,-529800000000.0
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,(23.243.661.750),(23.243.661.750),,,-23243661750.0,-23243661750.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,3.224.710.220.000,340.683.172.475,527.006.880.127,4.092.400.272.602,3224710220000.0,340683172475.0,527006880127.0,4092400272602.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,3.224.710.220.000,340.683.172.475,527.006.880.127,4.092.400.272.602,3224710220000.0,340683172475.0,527006880127.0,4092400272602.0
Tăng vốn (i),Năm nay > Tăng vốn (i),Tăng vốn (i),357.301.860.000,764.677.916.235,-,1.121.979.776.235,357301860000.0,764677916235.0,,1121979776235.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,292.173.994.120,292.173.994.120,,,292173994120.0,292173994120.0
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,(26.197.520.368),(26.197.520.368),,,-26197520368.0,-26197520368.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,3.582.012.080.000,1.105.361.088.710,792.983.353.879,5.480.356.522.589,3582012080000.0,1105361088710.0,792983353879.0,5480356522589.0
