row_label_raw,row_label_full,Hà An,Công ty trong cùng tập đoàn,Ký quỹ môi giới Tạm hoàn ứng cho chủ đầu tư Lãi cho vay,1.684.550.000.000,1.141.450.000.000,numeric__Công ty trong cùng tập đoàn,numeric__Ký quỹ môi giới Tạm hoàn ứng cho chủ đầu tư Lãi cho vay,numeric__1.684.550.000.000,numeric__1.141.450.000.000
Hà An,Hà An,Hà An,Công ty trong cùng tập đoàn,Ký quỹ môi giới Tạm hoàn ứng cho chủ đầu tư Lãi cho vay,1.578.882.475.033,586.750.000.000,,,1578882475033.0,586750000000.0
Hà An,Hà An,Hà An,Công ty trong cùng tập đoàn,Ký quỹ môi giới Tạm hoàn ứng cho chủ đầu tư Lãi cho vay,-,8.232.328.767,,,,8232328767.0
Charm & CI,Charm & CI,Charm & CI,Công ty trong cùng tập đoàn,Ký quỹ môi giới,182.382.257.533,182.382.257.533,,,182382257533.0,182382257533.0
Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Công ty con,Góp vốn theo HĐHTKD,45.179.472.100,-,,,45179472100.0,
Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Công ty con,Cổ tức,4.057.318.421,4.057.318.421,,,4057318421.0,4057318421.0
Đất Xanh Miền Nam,Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Góp vốn theo HĐHTKD,36.200.000.000,36.000.000.000,,,36200000000.0,36000000000.0
Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Cổ tức,16.252.870.000,7.785.150.000,,,16252870000.0,7785150000.0
Đất Xanh Miền Tây,Đất Xanh Miền Tây,Đất Xanh Miền Tây,Công ty con,Góp vốn theo HĐHTKD,7.500.000.000,9.000.000.000,,,7500000000.0,9000000000.0
Đất Xanh Miền Tây,Đất Xanh Miền Tây,Đất Xanh Miền Tây,Công ty con,Cổ tức,4.494.736.843,-,,,4494736843.0,
DXG,DXG,DXG,Công ty mẹ,Chỉ hộ,2.461.012.482,2.461.012.482,,,2461012482.0,2461012482.0
Đất Xanh Miền Trung,Đất Xanh Miền Trung,Đất Xanh Miền Trung,Công ty con,Cổ tức,-,14.500.000.000,,,,14500000000.0
Các công ty khác,Các công ty khác,Các công ty khác,Bên liên quan,Khác,7.545.915.495,1.538.525.906,,,7545915495.0,1538525906.0
,,,,,3.569.506.057.907,1.994.156.593.109,,,3569506057907.0,1994156593109.0
