row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
Đất Xanh Miền Nam,Phải trả ngắn hạn khác > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Nhận ký quỹ,51.380.000.000,43.000.000.000,,,51380000000.0,43000000000.0
Ihouzz,Phải trả ngắn hạn khác > Ihouzz,Ihouzz,Công ty con,Góp vốn theo HĐHTKD,20.000.000.000,-,,,20000000000.0,
LinkGroup,Phải trả ngắn hạn khác > LinkGroup,LinkGroup,Công ty con,Nhận ký quỹ,11.400.000.000,10.000.000.000,,,11400000000.0,10000000000.0
Đất Xanh Miền Đông,Phải trả ngắn hạn khác > Đất Xanh Miền Đông,Đất Xanh Miền Đông,Công ty con,Nhận ký quỹ,5.000.000.000,5.000.000.000,,,5000000000.0,5000000000.0
Đất Xanh Premium,Phải trả ngắn hạn khác > Đất Xanh Premium,Đất Xanh Premium,Công ty con,Nhận ký quỹ,5.000.000.000,4.000.000.000,,,5000000000.0,4000000000.0
Đất Xanh Đông Nam Bộ,Phải trả ngắn hạn khác > Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Công ty con,Nhận ký quỹ,4.000.000.000,3.000.000.000,,,4000000000.0,3000000000.0
Đất Xanh Miền Bắc,Phải trả ngắn hạn khác > Đất Xanh Miền Bắc,Đất Xanh Miền Bắc,Công ty con,Nhận ký quỹ,3.500.000.000,2.000.000.000,,,3500000000.0,2000000000.0
Hà An,Phải trả ngắn hạn khác > Hà An,Hà An,Công ty trong cùng tập đoàn,Thu hộ,2.611.369.904,-,,,2611369904.0,
Nam Bộ Invest,Phải trả ngắn hạn khác > Nam Bộ Invest,Nam Bộ Invest,Công ty con,Nhận ký quỹ,2.000.000.000,2.000.000.000,,,2000000000.0,2000000000.0
Đất Xanh Miền Tây,Phải trả ngắn hạn khác > Đất Xanh Miền Tây,Đất Xanh Miền Tây,Công ty con,Nhận ký quỹ,2.000.000.000,2.000.000.000,,,2000000000.0,2000000000.0
Đất Xanh Nam Trung Bộ,Phải trả ngắn hạn khác > Đất Xanh Nam Trung Bộ,Đất Xanh Nam Trung Bộ,Công ty con,Nhận ký quỹ,1.000.000.000,1.000.000.000,,,1000000000.0,1000000000.0
Bất động sản Quốc tế,Phải trả ngắn hạn khác > Bất động sản Quốc tế,Bất động sản Quốc tế,Công ty con,Nhận ký quỹ,1.000.000.000,-,,,1000000000.0,
Linkhouse,Phải trả ngắn hạn khác > Linkhouse,Linkhouse,Công ty con,Nhận ký quỹ,840.000.000,1.000.000.000,,,840000000.0,1000000000.0
Asahi,Phải trả ngắn hạn khác > Asahi,Asahi,Công ty con,Nhận ký quỹ,500.000.000,2.000.000.000,,,500000000.0,2000000000.0
Đất Xanh Plus,Phải trả ngắn hạn khác > Đất Xanh Plus,Đất Xanh Plus,Công ty con,Góp vốn theo HĐHTKD,500.000.000,500.000.000,,,500000000.0,500000000.0
,,,,,110.731.369.904,75.500.000.000,,,110731369904.0,75500000000.0
