row_label_raw,row_label_full,col_0,31 tháng 12 năm 2025VND,31 tháng 12 năm 2024VND,numeric__31 tháng 12 năm 2025VND,numeric__31 tháng 12 năm 2024VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phí môi giới chuyển nhượng bắt động sản,Ngắn hạn > Phí môi giới chuyển nhượng bắt động sản,Phí môi giới chuyển nhượng bắt động sản,74.352.337.642,62.542.862.687,74352337642.0,62542862687.0
Chi phí trả trước ngắn hạn,Ngắn hạn > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,2.321.958.195,788.895.337,2321958195.0,788895337.0
,,,76.674.295.837,63.331.758.024,76674295837.0,63331758024.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Chi phí sửa chữa cơ sở hạ tầng, nhà xưởng","Dài hạn > Chi phí sửa chữa cơ sở hạ tầng, nhà xưởng","Chi phí sửa chữa cơ sở hạ tầng, nhà xưởng",23.185.438.876,26.403.665.863,23185438876.0,26403665863.0
"Phí thu xếp khoản vay, cam kết rút vốn","Dài hạn > Phí thu xếp khoản vay, cam kết rút vốn","Phí thu xếp khoản vay, cam kết rút vốn",30.360.333.333,-,30360333333.0,
Chi phí trả trước dài hạn khác,Dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,11.594.275.773,13.203.775.463,11594275773.0,13203775463.0
,,,65.140.047.982,39.607.441.326,65140047982.0,39607441326.0
,,,141.814.343.819,102.939.199.350,141814343819.0,102939199350.0
