row_label_raw,row_label_full,col_0,31 tháng 12 năm 2025 > Giá gốcVND,31 tháng 12 năm 2025 > Giá trịcó thể thu hồiVND,31 tháng 12 năm 2024 > Giá gốcVND,31 tháng 12 năm 2024 > Giá trịcó thể thu hồiVND,numeric__31 tháng 12 năm 2025 > Giá gốcVND,numeric__31 tháng 12 năm 2025 > Giá trịcó thể thu hồiVND,numeric__31 tháng 12 năm 2024 > Giá gốcVND,numeric__31 tháng 12 năm 2024 > Giá trịcó thể thu hồiVND
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,106.356.367.950,-,106.284.367.950,-,106356367950.0,,106284367950.0,
Công ty Sản xuất Thép Úc SSE,Công ty Sản xuất Thép Úc SSE,Công ty Sản xuất Thép Úc SSE,90.367.064.725,-,90.367.064.725,-,90367064725.0,,90367064725.0,
Công ty Cổ phần Lâm Thịnh,Công ty Cổ phần Lâm Thịnh,Công ty Cổ phần Lâm Thịnh,9.083.322.575,-,9.083.322.575,-,9083322575.0,,9083322575.0,
Công ty Cổ phần Việt Nhật,Công ty Cổ phần Việt Nhật,Công ty Cổ phần Việt Nhật,6.833.980.650,-,6.833.980.650,-,6833980650.0,,6833980650.0,
Khác,Khác,Khác,72.000.000,-,-,-,72000000.0,,,
Phải thu khác về cho vay,Phải thu khác về cho vay,Phải thu khác về cho vay,12.453.810.086,-,500.000.000,-,12453810086.0,,500000000.0,
Công ty Cổ phần Du lịch Sài Gòn,Công ty Cổ phần Du lịch Sài Gòn,Công ty Cổ phần Du lịch Sài Gòn,500.000.000,-,500.000.000,-,500000000.0,,500000000.0,
Ông Phạm Đức Phong,Ông Phạm Đức Phong,Ông Phạm Đức Phong,10.000.000.000,-,-,-,10000000000.0,,,
CTCP Dịch Vụ Bưu Chính Viễn Thông Sài Gòn,CTCP Dịch Vụ Bưu Chính Viễn Thông Sài Gòn,CTCP Dịch Vụ Bưu Chính Viễn Thông Sài Gòn,1.953.810.086,-,-,-,1953810086.0,,,
,,,118.810.178.036,-,106.784.367.950,-,118810178036.0,,106784367950.0,
