row_label_raw,row_label_full,Các bên có liên quan,Bản chất giao dịch,Năm kết thúc ngày31 tháng 12 năm 2025VND,Năm kết thúc ngày31 tháng 12 năm 2024VND,numeric__Bản chất giao dịch,numeric__Năm kết thúc ngày31 tháng 12 năm 2025VND,numeric__Năm kết thúc ngày31 tháng 12 năm 2024VND
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Lãi cho vay phải thu,16.322.494.601,16.897.734.685,,16322494601.0,16897734685.0
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Chuyển tiền cho vay,10.000.000.000,3.000.000.000,,10000000000.0,3000000000.0
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Thu hồi gốc cho vay,193.000.000.000,-,,193000000000.0,
Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Tạm ứng,32.206.547.680,8.009.687.455,,32206547680.0,8009687455.0
Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Thu hồi tạm ứng,61.146.000,-,,61146000.0,
Ông Đăng Nguyễn Nam Anh,Ông Đăng Nguyễn Nam Anh,Ông Đăng Nguyễn Nam Anh,Chi phí tiếp khách,668.064.359,-,,668064359.0,
Ông Đăng Nguyễn Nam Anh,Ông Đăng Nguyễn Nam Anh,Ông Đăng Nguyễn Nam Anh,Tạm ứng,495.172.285,-,,495172285.0,
Ông Phan Anh Dũng,Ông Phan Anh Dũng,Ông Phan Anh Dũng,Hoàn ứng,110.000.000,-,,110000000.0,
Công ty Cổ phần đầu tư Vinatex - Tân Tạo,Công ty Cổ phần đầu tư Vinatex - Tân Tạo,Công ty Cổ phần đầu tư Vinatex - Tân Tạo,Gộp vốn hợp tác kinh doanh,465.050.000.000,-,,465050000000.0,
Công ty Cổ phần đầu tư Vinatex - Tân Tạo,Công ty Cổ phần đầu tư Vinatex - Tân Tạo,Công ty Cổ phần đầu tư Vinatex - Tân Tạo,Nhận vốn hợp tác kinh doanh,2.353.000.000.000,-,,2353000000000.0,
Công ty Cổ phần Đầu Tư Khu Công Nghiệp Lê Minh Xuân 2,Công ty Cổ phần Đầu Tư Khu Công Nghiệp Lê Minh Xuân 2,Công ty Cổ phần Đầu Tư Khu Công Nghiệp Lê Minh Xuân 2,Lãi cho vay phải thu,84.301.370,-,,84301370.0,
Công ty Cổ phần Đầu Tư Sài Gòn - Huế,Công ty Cổ phần Đầu Tư Sài Gòn - Huế,Công ty Cổ phần Đầu Tư Sài Gòn - Huế,Lãi cho vay phải thu,21.371.363.011,-,,21371363011.0,
Công ty Cổ phần Đầu Tư Sài Gòn - Huế,Công ty Cổ phần Đầu Tư Sài Gòn - Huế,Công ty Cổ phần Đầu Tư Sài Gòn - Huế,Cho vay,332.540.000.000,-,,332540000000.0,
Công ty Cổ phần Kumba,Công ty Cổ phần Kumba,Công ty Cổ phần Kumba,Lãi đi vay,174.032.878,-,,174032878.0,
Công ty Cổ phần Kumba,Công ty Cổ phần Kumba,Công ty Cổ phần Kumba,Thanh toán gốc vay,8.500.000.000,-,,8500000000.0,
Công ty Cổ phần Kumba,Công ty Cổ phần Kumba,Công ty Cổ phần Kumba,Thanh toán lãi vay,1.981.813.699,-,,1981813699.0,
