row_label_raw,row_label_full,Các bên có liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 8),Bản chất số dư > Phải thu ngắn hạn của khách hàng (Thuyết minh số 8),31 tháng 12 năm 2025VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 8),31 tháng 12 năm 2024VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 8),numeric__Bản chất số dư > Phải thu ngắn hạn của khách hàng (Thuyết minh số 8),numeric__31 tháng 12 năm 2025VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 8),numeric__31 tháng 12 năm 2024VND > Phải thu ngắn hạn của khách hàng (Thuyết minh số 8)
Công ty Cổ phần Công nghệ Viễn Thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn Thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn Thông Sài Gòn,Phải thu ngắn hạn,1.317.600,-,,1317600.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Phải thu ngắn hạn,-,6.232.210.000,,,6232210000.0
,,,,1.317.600,6.232.210.000,,1317600.0,6232210000.0
Phải thu về cho vay (Thuyết minh 11) (I),Phải thu về cho vay (Thuyết minh 11) (I),Phải thu về cho vay (Thuyết minh 11) (I),Phải thu về cho vay (Thuyết minh 11) (I),Phải thu về cho vay (Thuyết minh 11) (I),Phải thu về cho vay (Thuyết minh 11) (I),,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Ngắn hạn > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Phải thu về cho vay,479.761.922.396,631.258.758.390,,479761922396.0,631258758390.0
Công ty Cổ phần Đầu tư Sài Gòn - Huế,Ngắn hạn > Công ty Cổ phần Đầu tư Sài Gòn - Huế,Công ty Cổ phần Đầu tư Sài Gòn - Huế,Phải thu về cho vay,322.540.000.000,-,,322540000000.0,
Công ty TNHH Saigontel Long An,Ngắn hạn > Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Phải thu về cho vay,240.700.000.000,50.000.000.000,,240700000000.0,50000000000.0
Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh,Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh,Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh,Phải thu về cho vay,,,,,
Xuân 2,Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh > Xuân 2,Xuân 2,,1.700.000.000,1.700.000.000,,1700000000.0,1700000000.0
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh > Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Phải thu về cho vay,12.521.929.895,205.521.929.893,,12521929895.0,205521929893.0
Công ty Cổ phần Khu công nghiệp,Công ty Cổ phần Khu công nghiệp,Công ty Cổ phần Khu công nghiệp,Phải thu về cho vay,,,,,
Sài Gòn - Nhơn Hội,Công ty Cổ phần Khu công nghiệp > Sài Gòn - Nhơn Hội,Sài Gòn - Nhơn Hội,,441.450.000.000,461.450.000.000,,441450000000.0,461450000000.0
Ông Nguyễn Hoàng Kỳ Lân,Công ty Cổ phần Khu công nghiệp > Ông Nguyễn Hoàng Kỳ Lân,Ông Nguyễn Hoàng Kỳ Lân,Phải thu về cho vay,232.460.000.000,232.460.000.000,,232460000000.0,232460000000.0
,,,,1.731.133.852.291,1.582.390.688.283,,1731133852291.0,1582390688283.0
Các khoản phải thu khác (Thuyết minh 12),Các khoản phải thu khác (Thuyết minh 12),Các khoản phải thu khác (Thuyết minh 12),Các khoản phải thu khác (Thuyết minh 12),Các khoản phải thu khác (Thuyết minh 12),Các khoản phải thu khác (Thuyết minh 12),,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,
Ông Vũ Thanh Dương,Ngắn hạn > Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Tạm ứng,634.785.776.512,313.946.312.404,,634785776512.0,313946312404.0
Ông Mai Tuấn Dũng,Ngắn hạn > Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Tạm ứng,149.662.579.290,117.517.177.610,,149662579290.0,117517177610.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Ngắn hạn > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Lãi vay phải thu và hợp tác kinh doanh,134.861.076.278,50.518.932.041,,134861076278.0,50518932041.0
Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Lãi vay phải thu,,,,,
,,,,50.339.208.223,42.096.582.192,,50339208223.0,42096582192.0
Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội > Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng,Lãi vay phải thu,22.808.807.527,47.889.299.227,,22808807527.0,47889299227.0
Công ty Cổ phần Đầu Tư Vinatex – Tân Tạo,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội > Công ty Cổ phần Đầu Tư Vinatex – Tân Tạo,Công ty Cổ phần Đầu Tư Vinatex – Tân Tạo,Hợp tác kinh doanh,465.050.000.000,-,,465050000000.0,
Ông Nguyễn Hoàng Kỳ Lân,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội > Ông Nguyễn Hoàng Kỳ Lân,Ông Nguyễn Hoàng Kỳ Lân,Đặt cọc mua cổ phần,720.000.000.000,-,,720000000000.0,
Ông Nguyễn Hoàng Kỳ Lân,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội > Ông Nguyễn Hoàng Kỳ Lân,Ông Nguyễn Hoàng Kỳ Lân,Lã vay phải thu,7.897.271.233,-,,7897271233.0,
Công ty Cổ phần Đầu tư Sài Gòn - Huế,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội > Công ty Cổ phần Đầu tư Sài Gòn - Huế,Công ty Cổ phần Đầu tư Sài Gòn - Huế,Lãi vay phải thu,51.103.252.324,-,,51103252324.0,
Các bên liên quan khác,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội > Các bên liên quan khác,Các bên liên quan khác,Phải thu khác,60.797.816.353,38.604.673.880,,60797816353.0,38604673880.0
,,,,2.297.305.787.740,610.572.977.354,,2297305787740.0,610572977354.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Dài hạn > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Lãi vay phải thu,-,63.713.424.657,,,63713424657.0
,,,,-,63.713.424.657,,,63713424657.0
Chỉ phí phải trả dài hạn (Thuyết minh 23),Chỉ phí phải trả dài hạn (Thuyết minh 23),Chỉ phí phải trả dài hạn (Thuyết minh 23),Chỉ phí phải trả dài hạn (Thuyết minh 23),Chỉ phí phải trả dài hạn (Thuyết minh 23),Chỉ phí phải trả dài hạn (Thuyết minh 23),,,
Công ty Cổ phần Công nghệ Viễn Thông Sài Gòn,Chỉ phí phải trả dài hạn (Thuyết minh 23) > Công ty Cổ phần Công nghệ Viễn Thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn Thông Sài Gòn,Lãi vay phải trả,-,589.879.723,,,589879723.0
Phải trả khác dài hạn (Thuyết minh 24),Phải trả khác dài hạn (Thuyết minh 24),Phải trả khác dài hạn (Thuyết minh 24),Phải trả khác dài hạn (Thuyết minh 24),Phải trả khác dài hạn (Thuyết minh 24),Phải trả khác dài hạn (Thuyết minh 24),,,
Công ty Cổ phần Đầu Tư Vinatex – Tân Tạo,Phải trả khác dài hạn (Thuyết minh 24) > Công ty Cổ phần Đầu Tư Vinatex – Tân Tạo,Công ty Cổ phần Đầu Tư Vinatex – Tân Tạo,Hợp tác kinh doanh,2.353.000.000.000,-,,2353000000000.0,
Vay (Thuyết minh 25),Vay (Thuyết minh 25),Vay (Thuyết minh 25),Vay (Thuyết minh 25),Vay (Thuyết minh 25),Vay (Thuyết minh 25),,,
Công ty Cổ phần Kum-ba,Vay (Thuyết minh 25) > Công ty Cổ phần Kum-ba,Công ty Cổ phần Kum-ba,Vay ngắn hạn,-,8.500.000.000,,,8500000000.0
Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Vay dài hạn,,,,,
,,,,-,30.000.000.000,,,30000000000.0
,,,,-,38.500.000.000,,,38500000000.0
