row_label_raw,row_label_full,col_0,31 tháng 12 năm 2025VND,31 tháng 12 năm 2024VND,numeric__31 tháng 12 năm 2025VND,numeric__31 tháng 12 năm 2024VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Tạm ứng cho nhân viên (i),Ngắn hạn > Tạm ứng cho nhân viên (i),Tạm ứng cho nhân viên (i),1.089.076.822.718,1.690.196.245.616,1089076822718.0,1690196245616.0
Ông Mai Nho Tường,Ngắn hạn > Ông Mai Nho Tường,Ông Mai Nho Tường,419.887.833.433,957.069.213.673,419887833433.0,957069213673.0
Ông Phan Minh Toàn Thư,Ngắn hạn > Ông Phan Minh Toàn Thư,Ông Phan Minh Toàn Thư,142.908.697.271,196.543.207.156,142908697271.0,196543207156.0
Các đối tượng khác,Ngắn hạn > Các đối tượng khác,Các đối tượng khác,526.280.292.014,536.583.824.787,526280292014.0,536583824787.0
Đặt cọc mua cổ phần (ii),Ngắn hạn > Đặt cọc mua cổ phần (ii),Đặt cọc mua cổ phần (ii),665.200.000.000,1.197.250.000.000,665200000000.0,1197250000000.0
Ban quản lý Dự án Đầu tư Xây dựng Huyện Đức Hòa (iii),Ngắn hạn > Ban quản lý Dự án Đầu tư Xây dựng Huyện Đức Hòa (iii),Ban quản lý Dự án Đầu tư Xây dựng Huyện Đức Hòa (iii),166.810.547.992,999.211.187.724,166810547992.0,999211187724.0
Công ty Cổ phần Dịch vụ Kinh Bắc (iv),Ngắn hạn > Công ty Cổ phần Dịch vụ Kinh Bắc (iv),Công ty Cổ phần Dịch vụ Kinh Bắc (iv),417.965.092.934,482.337.760.000,417965092934.0,482337760000.0
Phải thu về lãi cho vay,Ngắn hạn > Phải thu về lãi cho vay,Phải thu về lãi cho vay,405.874.464.921,317.518.083.152,405874464921.0,317518083152.0
Phải thu theo hợp đồng hợp tác kinh doanh (v),Ngắn hạn > Phải thu theo hợp đồng hợp tác kinh doanh (v),Phải thu theo hợp đồng hợp tác kinh doanh (v),131.624.713.042,312.653.373.257,131624713042.0,312653373257.0
Sở Tài chính Long An (trước đây là Sở Kế hoạch và Đầu tư) (vi),Ngắn hạn > Sở Tài chính Long An (trước đây là Sở Kế hoạch và Đầu tư) (vi),Sở Tài chính Long An (trước đây là Sở Kế hoạch và Đầu tư) (vi),16.144.200.000,32.093.100.000,16144200000.0,32093100000.0
Phải thu tiền tạm ứng giải phóng mặt bằng (vii),Ngắn hạn > Phải thu tiền tạm ứng giải phóng mặt bằng (vii),Phải thu tiền tạm ứng giải phóng mặt bằng (vii),443.667.321.122,-,443667321122.0,
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,400.992.313.539,321.258.822.023,400992313539.0,321258822023.0
Phải thu khác các bên liên quan (Thuyết minh 38),Ngắn hạn > Phải thu khác các bên liên quan (Thuyết minh 38),Phải thu khác các bên liên quan (Thuyết minh 38),2.297.305.787.740,610.572.977.354,2297305787740.0,610572977354.0
,,,6.034.661.264.008,5.963.091.549.126,6034661264008.0,5963091549126.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải thu theo hợp đồng hợp tác đầu tư với Công ty Cổ phần Đầu tư,Phải thu theo hợp đồng hợp tác đầu tư với Công ty Cổ phần Đầu tư,Phải thu theo hợp đồng hợp tác đầu tư với Công ty Cổ phần Đầu tư,,,,
Láng Hạ (viii),Phải thu theo hợp đồng hợp tác đầu tư với Công ty Cổ phần Đầu tư > Láng Hạ (viii),Láng Hạ (viii),-,412.407.864.125,,412407864125.0
Phải thu dài hạn khác,Phải thu theo hợp đồng hợp tác đầu tư với Công ty Cổ phần Đầu tư > Phải thu dài hạn khác,Phải thu dài hạn khác,283.361.269.442,132.274.734.103,283361269442.0,132274734103.0
Tạm ứng cho Ông Phan Minh Toàn Thư,Phải thu theo hợp đồng hợp tác đầu tư với Công ty Cổ phần Đầu tư > Tạm ứng cho Ông Phan Minh Toàn Thư,Tạm ứng cho Ông Phan Minh Toàn Thư,1.050.000.000,-,1050000000.0,
Phải thu khác các bên liên quan (Thuyết minh 38),Phải thu theo hợp đồng hợp tác đầu tư với Công ty Cổ phần Đầu tư > Phải thu khác các bên liên quan (Thuyết minh 38),Phải thu khác các bên liên quan (Thuyết minh 38),-,63.713.424.657,,63713424657.0
,,,284.411.269.442,608.396.022.885,284411269442.0,608396022885.0
,,,6.319.072.533.450,6.571.487.572.011,6319072533450.0,6571487572011.0
