row_label_raw,row_label_full,Tên,Chức vụ,Năm kết thúc ngày 31 tháng 12 năm 2025,Năm kết thúc ngày 31 tháng 12 năm 2025_1,Năm kết thúc ngày 31 tháng 12 năm 2025_2,Năm kết thúc ngày 31 tháng 12 năm 2025_3,Năm kết thúc ngày 31 tháng 12 năm 2024,Năm kết thúc ngày 31 tháng 12 năm 2024_1,Năm kết thúc ngày 31 tháng 12 năm 2024_2,Năm kết thúc ngày 31 tháng 12 năm 2024_3,numeric__Chức vụ,numeric__Năm kết thúc ngày 31 tháng 12 năm 2025,numeric__Năm kết thúc ngày 31 tháng 12 năm 2025_1,numeric__Năm kết thúc ngày 31 tháng 12 năm 2025_2,numeric__Năm kết thúc ngày 31 tháng 12 năm 2025_3,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024_1,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024_2,numeric__Năm kết thúc ngày 31 tháng 12 năm 2024_3
Tên,Tên,Tên,Chức vụ,Tổng thu nhập thực nhận của Ban Tổng,Tổng thu nhập thực nhận của Ban Tổng,Tổng thu nhập thực nhận của Ban Tổng,Tổng thu nhập thực nhận của Ban Tổng,Tổng thu nhập thực nhận của Ban,Tổng thu nhập thực nhận của Ban,Tổng thu nhập thực nhận của Ban,Tổng thu nhập thực nhận của Ban,,,,,,,,,
Tên,Tên,Tên,Chức vụ,Thù lao của Hội đồng Quản trị và Ban Kiểm soát VND,"Giám đốc, người quản lý khác và Trường ban kiểm soát VND",Tổng thuế thu nhập cả nhận phải nộp VND,Tổng cộng và Ban Kiểm soát VND,Thù lao của Hội đồng Quản trị và Ban Kiểm soát VND,"Tổng Giám đốc, người quản lý khác và Trường ban kiểm soát VND",Tổng thuế thu nhập cả nhận phải nộp VND,Tổng cộng VND,,,,,,,,,
Đặng Thành Tâm,Đặng Thành Tâm,Đặng Thành Tâm,Chủ tịch Hội đồng Quản trị,-,-,-,-,-,-,-,-,,,,,,,,,
Nguyễn Thị Thu Hương,Đặng Thành Tâm > Nguyễn Thị Thu Hương,Nguyễn Thị Thu Hương,"Thành viên Hội đồng Quản trị, Tổng Giám đốc",100.000.000,5.315.501.000,2.606.254.385,8.021.755.385,100.000.000,6.253.501.000,3.111.331.308,9.464.832.308,,100000000.0,5315501000.0,2606254385.0,8021755385.0,100000000.0,6253501000.0,3111331308.0,9464832308.0
Huỳnh Phát,Đặng Thành Tâm > Huỳnh Phát,Huỳnh Phát,Thành viên Hội đồng Quản trị,100.000.000,-,11.111.111,111.111.111,100.000.000,-,11.111.111,111.111.111,,100000000.0,,11111111.0,111111111.0,100000000.0,,11111111.0,111111111.0
Lê Hoàng Lân,Đặng Thành Tâm > Lê Hoàng Lân,Lê Hoàng Lân,Thành viên Hội đồng Quản trị độc lập,1.060.000.000,-,265.000.000,1.325.000.000,340.000.000,-,85.000.000,425.000.000,,1060000000.0,,265000000.0,1325000000.0,340000000.0,,85000000.0,425000000.0
Đặng Nguyễn Quỳnh Anh,Đặng Thành Tâm > Đặng Nguyễn Quỳnh Anh,Đặng Nguyễn Quỳnh Anh,Thành viên Hội đồng Quản trị,100.000.000,-,11.111.111,111.111.111,100.000.000,-,11.111.111,111.111.111,,100000000.0,,11111111.0,111111111.0,100000000.0,,11111111.0,111111111.0
Phạm Phúc Hiếu,Đặng Thành Tâm > Phạm Phúc Hiếu,Phạm Phúc Hiếu,"Phó Tổng Giám đốc, Kế toán trường",-,3.872.533.000,1.832.287.000,5.704.820.000,-,3.203.501.000,1.472.039.000,4.675.540.000,,,3872533000.0,1832287000.0,5704820000.0,,3203501000.0,1472039000.0,4675540000.0
Nguyễn Mỹ Ngọc,Đặng Thành Tâm > Nguyễn Mỹ Ngọc,Nguyễn Mỹ Ngọc,Phó Tổng Giám đốc,-,1.212.417.000,399.916.846,1.612.333.846,-,1.460.833.000,533.679.308,1.994.512.308,,,1212417000.0,399916846.0,1612333846.0,,1460833000.0,533679308.0,1994512308.0
Phan Anh Dũng,Đặng Thành Tâm > Phan Anh Dũng,Phan Anh Dũng,Phó Tổng Giám đốc,-,107.280.000,-,107.280.000,-,474.880.000,62.293.333,537.173.333,,,107280000.0,,107280000.0,,474880000.0,62293333.0,537173333.0
Nguyễn Bích Ngọc,Đặng Thành Tâm > Nguyễn Bích Ngọc,Nguyễn Bích Ngọc,Trường Ban Kiểm soát,50.000.000,191.663.000,8.851.444,250.514.444,50.000.000,203.001.000,10.764.882,263.765.882,,50000000.0,191663000.0,8851444.0,250514444.0,50000000.0,203001000.0,10764882.0,263765882.0
Thé Thị Minh Hồng,Đặng Thành Tâm > Thé Thị Minh Hồng,Thé Thị Minh Hồng,Thành viên Ban Kiểm soát,50.000.000,-,5.555.556,55.555.556,50.000.000,-,5.555.556,55.555.556,,50000000.0,,5555556.0,55555556.0,50000000.0,,5555556.0,55555556.0
Trần Tiến Thành,Đặng Thành Tâm > Trần Tiến Thành,Trần Tiến Thành,Thành viên Ban Kiểm soát,50.000.000,-,5.555.556,55.555.556,50.000.000,-,5.555.556,55.555.556,,50000000.0,,5555556.0,55555556.0,50000000.0,,5555556.0,55555556.0
,,,,1.510.000.000,10.699.394.000,5.145.643.009,17.355.037.009,790.000.000,11.595.716.000,5.308.441.165,17.694.157.165,,1510000000.0,10699394000.0,5145643009.0,17355037009.0,790000000.0,11595716000.0,5308441165.0,17694157165.0
