row_label_raw,row_label_full,Bà Nguyễn Thị Thu Hương,Tổng Giám đốc,col_2,numeric__Tổng Giám đốc,numeric__col_2
Ông Phan Anh Dùng,Ông Phan Anh Dùng,Ông Phan Anh Dùng,Phó Tổng Giám đốc,,,
Bà Nguyễn Mỹ Ngoc,Bà Nguyễn Mỹ Ngoc,Bà Nguyễn Mỹ Ngoc,Phó Tổng Giám đốc,,,
Ông Đăng Nguyễn Nam Anh,Ông Đăng Nguyễn Nam Anh,Ông Đăng Nguyễn Nam Anh,Phó Tổng Giám đốc,Bổ nhiệm ngày 14 tháng 3 năm 2025,,
Ông Phạm Phúc Hiếu,Ông Phạm Phúc Hiếu,Ông Phạm Phúc Hiếu,Phó Tổng Giám đốc kiểm Kế toán trường,,,
