row_label_raw,row_label_full,Bà Nguyễn Bích Ngọc,Trưởng ban,numeric__Trưởng ban
Bà Thế Thị Minh Hồng,Bà Thế Thị Minh Hồng,Bà Thế Thị Minh Hồng,Thành viên,
Ông Trần Tiến Thành,Ông Trần Tiến Thành,Ông Trần Tiến Thành,Thành viên,
