row_label_raw,row_label_full,col_0,Nhà xuǒng (bao gǒm chi phí phát triển đất và cơ sở hạ tầng) VND,numeric__Nhà xuǒng (bao gǒm chi phí phát triển đất và cơ sở hạ tầng) VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
1 tháng 1 năm 2025,Nguyên giá > 1 tháng 1 năm 2025,1 tháng 1 năm 2025,1.549.022.147.988,1549022147988.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(99.021.670.012),-99021670012.0
31 tháng 12 năm 2025,Nguyên giá > 31 tháng 12 năm 2025,31 tháng 12 năm 2025,1.450.000.477.976,1450000477976.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
1 tháng 1 năm 2025,Giá trị hao mòn lũy kế > 1 tháng 1 năm 2025,1 tháng 1 năm 2025,(256.737.878.382),-256737878382.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,(102.328.215.765),-102328215765.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,14.597.070.977,14597070977.0
Điều chỉnh,Giá trị hao mòn lũy kế > Điều chỉnh,Điều chỉnh,1.078.311.200,1078311200.0
31 tháng 12 năm 2025,Giá trị hao mòn lũy kế > 31 tháng 12 năm 2025,31 tháng 12 năm 2025,(343.390.711.970),-343390711970.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
1 tháng 1 năm 2025,Giá trị còn lại > 1 tháng 1 năm 2025,1 tháng 1 năm 2025,1.292.284.269.606,1292284269606.0
31 tháng 12 năm 2025,Giá trị còn lại > 31 tháng 12 năm 2025,31 tháng 12 năm 2025,1.106.609.766.006,1106609766006.0
