row_label_raw,row_label_full,col_0,Thuyết minh,Mã số,Năm kết thúc ngày31 tháng 12 năm 2025VND,Năm kết thúc ngày31 tháng 12 năm 2024VND,numeric__Thuyết minh,numeric__Mã số,numeric__Năm kết thúc ngày31 tháng 12 năm 2025VND,numeric__Năm kết thúc ngày31 tháng 12 năm 2024VND
Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,
Lợi nhuận trước thuế,Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,01,2.929.343.169.404,722.526.717.522,,1.0,2929343169404.0,722526717522.0
Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,,,
Khấu hao tài sản cố định,Điều chỉnh cho các khoản: > Khấu hao tài sản cố định,Khấu hao tài sản cố định,,02,181.750.586.475,165.079.687.237,,2.0,181750586475.0,165079687237.0
Thay đổi các khoản dự phòng,Điều chỉnh cho các khoản: > Thay đổi các khoản dự phòng,Thay đổi các khoản dự phòng,,03,10.993.344.014,(23.387.042.393),,3.0,10993344014.0,-23387042393.0
Lãi từ hoạt động đầu tư,Điều chỉnh cho các khoản: > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,,05,(1.245.746.772.835),(485.128.975.544),,5.0,-1245746772835.0,-485128975544.0
Chi phí lãi vay và phát hành trái phiếu,Điều chỉnh cho các khoản: > Chi phí lãi vay và phát hành trái phiếu,Chi phí lãi vay và phát hành trái phiếu,,06,700.381.369.467,275.444.043.557,,6.0,700381369467.0,275444043557.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Điều chỉnh cho các khoản: > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,08,2.576.721.696.525,654.534.430.379,,8.0,2576721696525.0,654534430379.0
Thay đổi các khoản phải thu,Điều chỉnh cho các khoản: > Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,,09,(6.816.506.264.927),(1.357.631.695.417),,9.0,-6816506264927.0,-1357631695417.0
Thay đổi hàng tồn kho,Điều chỉnh cho các khoản: > Thay đổi hàng tồn kho,Thay đổi hàng tồn kho,,10,(13.223.453.798.969),(1.630.909.836.094),,10.0,-13223453798969.0,-1630909836094.0
Thay đổi các khoản phải trả,Điều chỉnh cho các khoản: > Thay đổi các khoản phải trả,Thay đổi các khoản phải trả,,11,1.175.149.678.538,6.332.927.903.931,,11.0,1175149678538.0,6332927903931.0
Thay đổi chi phí trả trước,Điều chỉnh cho các khoản: > Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,,12,(38.830.818.906),(23.687.734.832),,12.0,-38830818906.0,-23687734832.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,,14,(763.619.275.137),(2.369.994.583.628),,14.0,-763619275137.0,-2369994583628.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,,15,(253.357.332.152),(453.405.335.932),,15.0,-253357332152.0,-453405335932.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,20,(17.343.896.115.028),1.151.833.148.407,,20.0,-17343896115028.0,1151833148407.0
Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,,,,
Tiền chi mua sắm TSCĐ và xây dựng cơ bản dở dang,Lưu chuyển tiền từ hoạt động đầu tư > Tiền chi mua sắm TSCĐ và xây dựng cơ bản dở dang,Tiền chi mua sắm TSCĐ và xây dựng cơ bản dở dang,,21,(130.044.375.604),(530.403.732.009),,21.0,-130044375604.0,-530403732009.0
Tiền thu từ thanh lý TSCĐ và các tài sản khác,Lưu chuyển tiền từ hoạt động đầu tư > Tiền thu từ thanh lý TSCĐ và các tài sản khác,Tiền thu từ thanh lý TSCĐ và các tài sản khác,,22,132.620.706.300,55.633.635.900,,22.0,132620706300.0,55633635900.0
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Lưu chuyển tiền từ hoạt động đầu tư > Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,23,(1.785.545.209.397),(7.664.089.157.973),,23.0,-1785545209397.0,-7664089157973.0
