row_label_raw,row_label_full,STT,Tên tổ chức/cá nhân,Mối quan hệ liên quan với Công ty,numeric__Tên tổ chức/cá nhân,numeric__Mối quan hệ liên quan với Công ty
1,1,1,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty liên kết,,
2,2,2,Công ty TNHH Saigontel Long An,Công ty liên kết,,
3,3,3,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Nhơn Hội,Công ty liên kết,,
4,4,4,Công ty Cổ phần Đầu tư khu Công nghiệp Lê Minh Xuân 2,Công ty liên kết,,
5,5,5,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty liên kết,,
6,6,6,Công ty Cổ phần Đầu tư Sài Gòn – Huế,Công ty liên kết,,
7,7,7,Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu công nghệ cao Sài Gòn,Công ty có chung thành viên quản lý chủ chốt,,
8,8,8,Công ty Cổ phần Đầu tư Vinatex - Tân Tạo,Công ty có chung thành viên quản lý chủ chốt,,
9,9,9,Công ty Cổ phần Kum-ba,Công ty có chung thành viên quản lý chủ chốt,,
10,10,10,Ông Mai Tuấn Dũng,Tổng Giám đốc của Công ty con,,
11,11,11,Ông Vũ Thanh Dương,Phó Tổng Giám đốc của Công ty con,,
12,12,12,Ông Nguyễn Hoàng Kỳ Lân,Thành viên HĐQT của Công ty con,,
