row_label_raw,row_label_full,Ngắn hạn,31 tháng 12 năm 2025,31 tháng 12 năm 2025_1,31 tháng 12 năm 2024,31 tháng 12 năm 2024_1,numeric__31 tháng 12 năm 2025,numeric__31 tháng 12 năm 2025_1,numeric__31 tháng 12 năm 2024,numeric__31 tháng 12 năm 2024_1
Ngắn hạn,Ngắn hạn,Ngắn hạn,Giá gốcVND,Dự phòngVND,Giá gốcVND,Dự phòngVND,,,,
Phải thu cho vay đối tác doanh nghiệp (i),Ngắn hạn > Phải thu cho vay đối tác doanh nghiệp (i),Phải thu cho vay đối tác doanh nghiệp (i),2.363.409.532.105,(2.453.810.086),1.626.595.384.342,(500.000.000),2363409532105.0,-2453810086.0,1626595384342.0,-500000000.0
CTCP Tư vấn Thiết kế & Xây dựng Thành Phố Mới,Ngắn hạn > CTCP Tư vấn Thiết kế & Xây dựng Thành Phố Mới,CTCP Tư vấn Thiết kế & Xây dựng Thành Phố Mới,468.000.000.000,-,-,-,468000000000.0,,,
Công ty Cổ phần Đầu tư Sài Gòn – Huế,Ngắn hạn > Công ty Cổ phần Đầu tư Sài Gòn – Huế,Công ty Cổ phần Đầu tư Sài Gòn – Huế,-,-,328.090.000.000,-,,,328090000000.0,
Công ty Cổ phần Khu Công Nghiệp Sài Gòn - Cần Thơ,Ngắn hạn > Công ty Cổ phần Khu Công Nghiệp Sài Gòn - Cần Thơ,Công ty Cổ phần Khu Công Nghiệp Sài Gòn - Cần Thơ,665.520.000.000,-,283.640.000.000,-,665520000000.0,,283640000000.0,
Công ty Cổ phần Năng Lượng Sài Gòn - Bình Định,Ngắn hạn > Công ty Cổ phần Năng Lượng Sài Gòn - Bình Định,Công ty Cổ phần Năng Lượng Sài Gòn - Bình Định,260.000.000.000,-,260.000.000.000,-,260000000000.0,,260000000000.0,
Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,Ngắn hạn > Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,184.500.000.000,-,-,-,184500000000.0,,,
Công ty Cổ phần Dịch vụ Kinh Bắc,Ngắn hạn > Công ty Cổ phần Dịch vụ Kinh Bắc,Công ty Cổ phần Dịch vụ Kinh Bắc,23.400.000.000,-,199.051.616.859,-,23400000000.0,,199051616859.0,
Công ty Cổ phần Đầu tư và Phát triển Nhà Máy Điện Sài Gòn- Bình Thuận,Ngắn hạn > Công ty Cổ phần Đầu tư và Phát triển Nhà Máy Điện Sài Gòn- Bình Thuận,Công ty Cổ phần Đầu tư và Phát triển Nhà Máy Điện Sài Gòn- Bình Thuận,127.259.178.083,-,127.259.178.083,-,127259178083.0,,127259178083.0,
Công ty Cổ phần Du lịch Sài Gòn – Hàm Tân,Ngắn hạn > Công ty Cổ phần Du lịch Sài Gòn – Hàm Tân,Công ty Cổ phần Du lịch Sài Gòn – Hàm Tân,326.052.000.000,-,76.852.000.000,-,326052000000.0,,76852000000.0,
