row_label_raw,row_label_full,col_0,31 tháng 12 năm 2025 > Giá trịVND,31 tháng 12 năm 2025 > Số có khả năngtrà nợVND,31 tháng 12 năm 2025 > TăngVND,Trong kỳ > GiảmVND,Trong kỳ > Giá trịVND,31 tháng 12 năm 2024 > Số có khả năngtrà nợVND,31 tháng 12 năm 2024,numeric__31 tháng 12 năm 2025 > Giá trịVND,numeric__31 tháng 12 năm 2025 > Số có khả năngtrà nợVND,numeric__31 tháng 12 năm 2025 > TăngVND,numeric__Trong kỳ > GiảmVND,numeric__Trong kỳ > Giá trịVND,numeric__31 tháng 12 năm 2024 > Số có khả năngtrà nợVND,numeric__31 tháng 12 năm 2024
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,
Vay ngân hàng (Thuyết minh số 25.1),Vay ngắn hạn > Vay ngân hàng (Thuyết minh số 25.1),Vay ngân hàng (Thuyết minh số 25.1),98.014.856.416,98.014.856.416,178.529.318.116,(130.455.911.173),49.941.449.473,49.941.449.473,,98014856416.0,98014856416.0,178529318116.0,-130455911173.0,49941449473.0,49941449473.0,
Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 25.1),Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 25.1),Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 25.1),1.012.111.942.987,1.012.111.942.987,961.452.758.844,(176.553.726.981),227.212.911.124,227.212.911.124,,1012111942987.0,1012111942987.0,961452758844.0,-176553726981.0,227212911124.0,227212911124.0,
Trái phiếu dài hạn đến hạn trả(Thuyết minh số 25.2),Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả(Thuyết minh số 25.2),Trái phiếu dài hạn đến hạn trả(Thuyết minh số 25.2),987.052.777.778,987.052.777.778,987.052.777.778,-,,,,987052777778.0,987052777778.0,987052777778.0,,,,
Vay các bên liên quan (Thuyết minh 38),Vay ngắn hạn > Vay các bên liên quan (Thuyết minh 38),Vay các bên liên quan (Thuyết minh 38),-,-,-,(8.500.000.000),8.500.000.000,8.500.000.000,,,,,-8500000000.0,8500000000.0,8500000000.0,
Vay đối tượng khác (Thuyết minh số 25.3),Vay ngắn hạn > Vay đối tượng khác (Thuyết minh số 25.3),Vay đối tượng khác (Thuyết minh số 25.3),189.830.000.000,189.830.000.000,104.000.000.000,-,85.830.000.000,85.830.000.000,,189830000000.0,189830000000.0,104000000000.0,,85830000000.0,85830000000.0,
,,,2.287.009.577.181,2.287.009.577.181,2.231.034.854.738,(315.509.638.154),371.484.360.597,371.484.360.597,,2287009577181.0,2287009577181.0,2231034854738.0,-315509638154.0,371484360597.0,371484360597.0,
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,
Vay ngân hàng (Thuyết minh số 25.1),Vay dài hạn > Vay ngân hàng (Thuyết minh số 25.1),Vay ngân hàng (Thuyết minh số 25.1),26.351.225.596.560,26.351.225.596.560,19.398.217.941.643,(1.773.385.994.136),8.726.393.649.053,8.726.393.649.053,,26351225596560.0,26351225596560.0,19398217941643.0,-1773385994136.0,8726393649053.0,8726393649053.0,
Trái phiếu phát hành (Thuyết minh số 25.2),Vay dài hạn > Trái phiếu phát hành (Thuyết minh số 25.2),Trái phiếu phát hành (Thuyết minh số 25.2),-,-,9.875.000.000,(977.177.777.778),967.302.777.778,967.302.777.778,,,,9875000000.0,-977177777778.0,967302777778.0,967302777778.0,
Vay các bên liên quan (Thuyết minh 38),Vay dài hạn > Vay các bên liên quan (Thuyết minh 38),Vay các bên liên quan (Thuyết minh 38),-,-,-,(30.000.000.000),30.000.000.000,30.000.000.000,,,,,-30000000000.0,30000000000.0,30000000000.0,
Vay các đối tượng khác (Thuyết minh số 25.3),Vay dài hạn > Vay các đối tượng khác (Thuyết minh số 25.3),Vay các đối tượng khác (Thuyết minh số 25.3),-,-,-,(17.400.000.000),17.400.000.000,17.400.000.000,,,,,-17400000000.0,17400000000.0,17400000000.0,
,,,26.351.225.596.560,26.351.225.596.560,19.408.092.941.643,(2.797.963.771.914),9.741.096.426.831,9.741.096.426.831,,26351225596560.0,26351225596560.0,19408092941643.0,-2797963771914.0,9741096426831.0,9741096426831.0,
,,,28.638.235.173.741,28.638.235.173.741,21.639.127.796.381,(3.113.473.410.068),10.112.580.787.428,10.112.580.787.428,,28638235173741.0,28638235173741.0,21639127796381.0,-3113473410068.0,10112580787428.0,10112580787428.0,
