row_label_raw,row_label_full,col_0,Vốn cổ phầnVND,Thăng dưvốn cổ phầnVND,Quỹ đầu tưphát triểnVND,Qũy khác thuộcVốn chủ sở hữu (ii)VND,Lợi nhuận sau thuếchưa phân phốiVND,Lợi ích cổ đôngkhông kiểm soátVND,TổngVND,numeric__Vốn cổ phầnVND,numeric__Thăng dưvốn cổ phầnVND,numeric__Quỹ đầu tưphát triểnVND,numeric__Qũy khác thuộcVốn chủ sở hữu (ii)VND,numeric__Lợi nhuận sau thuếchưa phân phốiVND,numeric__Lợi ích cổ đôngkhông kiểm soátVND,numeric__TổngVND
1 tháng 1 năm 2024,1 tháng 1 năm 2024,1 tháng 1 năm 2024,7.676.047.590.000,2.743.529.570.000,2.223.693.823,-,7.754.163.743.041,2.044.908.107.552,20.220.872.704.416,7676047590000.0,2743529570000.0,2223693823.0,,7754163743041.0,2044908107552.0,20220872704416.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,381.924.116.264,41.109.312.871,423.033.429.135,,,,,381924116264.0,41109312871.0,423033429135.0
Tăng vốn cổ phần tử nguồnvốn chủ sở hữu (ii),Tăng vốn cổ phần tử nguồnvốn chủ sở hữu (ii),Tăng vốn cổ phần tử nguồnvốn chủ sở hữu (ii),-,-,-,3.324.832.200.000,(3.324.832.200.000),-,-,,,,3324832200000.0,-3324832200000.0,,
Cổ đông không kiểm soát gópvốn vào công ty con,Cổ đông không kiểm soát gópvốn vào công ty con,Cổ đông không kiểm soát gópvốn vào công ty con,-,-,-,-,-,1.000.000.000,1.000.000.000,,,,,,1000000000.0,1000000000.0
31 tháng 12 năm 2024,31 tháng 12 năm 2024,31 tháng 12 năm 2024,7.676.047.590.000,2.743.529.570.000,2.223.693.823,3.324.832.200.000,4.811.255.659.305,2.087.017.420.423,20.644.906.133.551,7676047590000.0,2743529570000.0,2223693823.0,3324832200000.0,4811255659305.0,2087017420423.0,20644906133551.0
1 tháng 1 năm 2025,1 tháng 1 năm 2025,1 tháng 1 năm 2025,7.676.047.590.000,2.743.529.570.000,2.223.693.823,3.324.832.200.000,4.811.255.659.305,2.087.017.420.423,20.644.906.133.551,7676047590000.0,2743529570000.0,2223693823.0,3324832200000.0,4811255659305.0,2087017420423.0,20644906133551.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,2.103.625.414.463,104.515.540.817,2.208.140.955.280,,,,,2103625414463.0,104515540817.0,2208140955280.0
Tăng tỷ lệ sở hữu do muathêm cổ phần công ty con,Tăng tỷ lệ sở hữu do muathêm cổ phần công ty con,Tăng tỷ lệ sở hữu do muathêm cổ phần công ty con,-,-,-,-,(14.319.502.487),(342.680.497.513),(357.000.000.000),,,,,-14319502487.0,-342680497513.0,-357000000000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,(375.000.000),(375.000.000),,,,,,-375000000.0,-375000000.0
Công ty con trích quỹ,Công ty con trích quỹ,Công ty con trích quỹ,-,-,9.429.851.701,-,(16.693.478.532),(2.711.138.395),(9.974.765.226),,,9429851701.0,,-16693478532.0,-2711138395.0,-9974765226.0
Mua công ty con,Mua công ty con,Mua công ty con,-,-,-,-,-,25.171.493.518,25.171.493.518,,,,,,25171493518.0,25171493518.0
Tăng vốn trong năm (i),Tăng vốn trong năm (i),Tăng vốn trong năm (i),1.741.500.000.000,2.420.685.000.000,-,-,-,53.780.000.000,4.215.965.000.000,1741500000000.0,2420685000000.0,,,,53780000000.0,4215965000000.0
Chi phí phát hành cổ phiếu,Chi phí phát hành cổ phiếu,Chi phí phát hành cổ phiếu,-,(990.000.000),-,-,-,-,(990.000.000),,-990000000.0,,,,,-990000000.0
31 tháng 12 năm 2025,31 tháng 12 năm 2025,31 tháng 12 năm 2025,9.417.547.590.000,5.163.224.570.000,11.653.545.524,3.324.832.200.000,6.883.868.092.749,1.924.717.818.850,26.725.843.817.123,9417547590000.0,5163224570000.0,11653545524.0,3324832200000.0,6883868092749.0,1924717818850.0,26725843817123.0
