row_label_raw,row_label_full,col_0,Thuyết minh,Mã số,31 tháng 12 năm 2025 VND,31 tháng 12 năm 2024 VND,numeric__Thuyết minh,numeric__Mã số,numeric__31 tháng 12 năm 2025 VND,numeric__31 tháng 12 năm 2024 VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tải sản dài hạn,TÀI SẢN > Tải sản dài hạn,Tải sản dài hạn,,200,14.535.644.273.764,8.654.534.222.377,,200.0,14535644273764.0,8654534222377.0
Các khoản phải thu dài hạn,TÀI SẢN > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,,210,916.892.135.435,1.365.556.888.880,,210.0,916892135435.0,1365556888880.0
Phải thu về cho vay dài hạn,TÀI SẢN > Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,11,215,632.480.865.993,757.160.865.995,11.0,215.0,632480865993.0,757160865995.0
Phải thu dài hạn khác,TÀI SẢN > Phải thu dài hạn khác,Phải thu dài hạn khác,12,216,284.411.269.442,608.396.022.885,12.0,216.0,284411269442.0,608396022885.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,220,514.727.408.282,408.327.298.161,,220.0,514727408282.0,408327298161.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,15,221,514.588.780.637,408.144.202.512,15.0,221.0,514588780637.0,408144202512.0
- Nguyên giá,TÀI SẢN > - Nguyên giá,- Nguyên giá,,222,1.072.259.557.913,886.965.494.578,,222.0,1072259557913.0,886965494578.0
- Giá trị hao mòn lũy kế,TÀI SẢN > - Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,,223,(557.670.777.276),(478.821.292.066),,223.0,-557670777276.0,-478821292066.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,,227,138.627.645,183.095.649,,227.0,138627645.0,183095649.0
- Nguyên giá,TÀI SẢN > - Nguyên giá,- Nguyên giá,,228,634.415.500,634.415.500,,228.0,634415500.0,634415500.0
- Giá trị hao mòn lũy kế,TÀI SẢN > - Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,,229,(495.787.855),(451.319.851),,229.0,-495787855.0,-451319851.0
Bất động sản đầu tư,TÀI SẢN > Bất động sản đầu tư,Bất động sản đầu tư,16,230,1.106.609.766.006,1.292.284.269.606,16.0,230.0,1106609766006.0,1292284269606.0
- Nguyên giá,TÀI SẢN > - Nguyên giá,- Nguyên giá,,231,1.450.000.477.976,1.549.022.147.988,,231.0,1450000477976.0,1549022147988.0
- Giá trị hao mòn lũy kế,TÀI SẢN > - Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,,232,(343.390.711.970),(256.737.878.382),,232.0,-343390711970.0,-256737878382.0
Tài sản dở dang dài hạn,TÀI SẢN > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,17,240,4.200.690.443.958,731.331.293.581,17.0,240.0,4200690443958.0,731331293581.0
Chi phí xây dựng cơ bản dở dang,TÀI SẢN > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,,242,4.200.690.443.958,731.331.293.581,,242.0,4200690443958.0,731331293581.0
Đầu tư tài chính dài hạn,TÀI SẢN > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,18,,7.731.584.472.101,4.817.427.030.823,18.0,,7731584472101.0,4817427030823.0
"Đầu tư vào công ty liên doanh, liên kết","TÀI SẢN > Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",18.1,252,7.325.314.972.101,4.394.274.905.745,181.0,252.0,7325314972101.0,4394274905745.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,18.2,253,406.569.500.000,424.500.200.000,182.0,253.0,406569500000.0,424500200000.0
Dự phòng đầu tư tài chính dài hạn,TÀI SẢN > Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,18.2,254,(300.000.000),(1.348.074.922),182.0,254.0,-300000000.0,-1348074922.0
Tài sản dài hạn khác,TÀI SẢN > Tài sản dài hạn khác,Tài sản dài hạn khác,,260,65.140.047.982,39.607.441.326,,260.0,65140047982.0,39607441326.0
Chi phí trả trước dài hạn,TÀI SẢN > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,14,261,65.140.047.982,39.607.441.326,14.0,261.0,65140047982.0,39607441326.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,,270,69.581.173.766.629,44.729.924.910.530,,270.0,69581173766629.0,44729924910530.0
