row_label_raw,row_label_full,col_0,Thuyết minh,Mã số,Năm kết thúc ngày31 tháng 12 năm 2025VND,Năm kết thúc ngày31 tháng 12 năm 2024VND,numeric__Thuyết minh,numeric__Mã số,numeric__Năm kết thúc ngày31 tháng 12 năm 2025VND,numeric__Năm kết thúc ngày31 tháng 12 năm 2024VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,,01,6.687.125.604.053,2.775.773.466.955,,1.0,6687125604053.0,2775773466955.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,02,-,-,,2.0,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,29,10,6.687.125.604.053,2.775.773.466.955,29.0,10.0,6687125604053.0,2775773466955.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,"30, 35",11,(3.497.496.465.502),(1.492.307.333.029),,11.0,-3497496465502.0,-1492307333029.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,20,3.189.629.138.551,1.283.466.133.926,,20.0,3189629138551.0,1283466133926.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,31,21,678.601.010.444,451.291.295.434,31.0,21.0,678601010444.0,451291295434.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,32,22,(706.102.843.758),(258.842.346.281),32.0,22.0,-706102843758.0,-258842346281.0
- Trong đó: chi phí lãi vay,- Trong đó: chi phí lãi vay,- Trong đó: chi phí lãi vay,,23,(680.631.369.467),(268.641.265.779),,23.0,-680631369467.0,-268641265779.0
"Lợi nhuận hoặc lỗ trong công ty liên kết, liên doanh","Lợi nhuận hoặc lỗ trong công ty liên kết, liên doanh","Lợi nhuận hoặc lỗ trong công ty liên kết, liên doanh",18.1,24,192.026.722.711,15.912.953.359,181.0,24.0,192026722711.0,15912953359.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,"33, 35",25,(161.571.261.060),(98.035.320.545),,25.0,-161571261060.0,-98035320545.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,"34, 35",26,(591.413.497.171),(459.863.902.146),,26.0,-591413497171.0,-459863902146.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,30,2.601.169.269.717,933.928.813.747,,30.0,2601169269717.0,933928813747.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,36,31,332.789.946.627,49.621.167.844,36.0,31.0,332789946627.0,49621167844.0
Chi phí khác,Chi phí khác,Chi phí khác,,32,(4.616.046.940),(261.023.264.069),,32.0,-4616046940.0,-261023264069.0
Lợi nhuận/(Lỗ) khác,Lợi nhuận/(Lỗ) khác,Lợi nhuận/(Lỗ) khác,,40,328.173.899.687,(211.402.096.225),,40.0,328173899687.0,-211402096225.0
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,,50,2.929.343.169.404,722.526.717.522,,50.0,2929343169404.0,722526717522.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,37,51,(717.848.435.775),(295.380.490.601),37.0,51.0,-717848435775.0,-295380490601.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,37,52,(3.353.778.349),(4.112.797.786),37.0,52.0,-3353778349.0,-4112797786.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,60,2.208.140.955.280,423.033.429.135,,60.0,2208140955280.0,423033429135.0
