row_label_raw,row_label_full,col_0,31 tháng 12 năm 2024 > Giá trịVND,31 tháng 12 năm 2024 > (Phải thu)/Phải nộpVND,Trong năm 31 tháng 12 năm 2025 > Thanh toán/Cần trừVND,Trong năm 31 tháng 12 năm 2025 > Giá trịVND,numeric__31 tháng 12 năm 2024 > Giá trịVND,numeric__31 tháng 12 năm 2024 > (Phải thu)/Phải nộpVND,numeric__Trong năm 31 tháng 12 năm 2025 > Thanh toán/Cần trừVND,numeric__Trong năm 31 tháng 12 năm 2025 > Giá trịVND
Thuế phải thu,Thuế phải thu,Thuế phải thu,Thuế phải thu,Thuế phải thu,Thuế phải thu,Thuế phải thu,,,,
Thuế thu nhập doanh nghiệp,Thuế phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,80.477.240.006,35.010.030.398,(50.913.551.162),64.573.719.242,80477240006.0,35010030398.0,-50913551162.0,64573719242.0
Các khoản khác,Thuế phải thu > Các khoản khác,Các khoản khác,1.451.652.898,15.513.764.700,(12.911.996.035),4.053.421.563,1451652898.0,15513764700.0,-12911996035.0,4053421563.0
,,,81.928.892.904,50.523.795.098,(63.825.547.197),68.627.140.805,81928892904.0,50523795098.0,-63825547197.0,68627140805.0
Thuế phải nộp,Thuế phải nộp,Thuế phải nộp,Thuế phải nộp,Thuế phải nộp,Thuế phải nộp,Thuế phải nộp,,,,
Thuế giá trị gia tăng,Thuế phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,488.896.635.421,(485.939.832.652),2.956.802.769,,488896635421.0,-485939832652.0,2956802769.0
Thuế thu nhập doanh nghiệp,Thuế phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,203.341.667.697,707.506.614.878,(238.624.023.469),672.224.259.106,203341667697.0,707506614878.0,-238624023469.0,672224259106.0
Thuế thu nhập cá nhân,Thuế phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.243.612.134,22.176.866.903,(21.380.386.432),2.040.092.605,1243612134.0,22176866903.0,-21380386432.0,2040092605.0
Tiền thuế đất hàng năm,Thuế phải nộp > Tiền thuế đất hàng năm,Tiền thuế đất hàng năm,-,28.645.207.421,(28.645.207.421),-,,28645207421.0,-28645207421.0,
Các khoản khác,Thuế phải nộp > Các khoản khác,Các khoản khác,5.645.744.174,31.421.727.602,(29.619.094.341),7.448.377.435,5645744174.0,31421727602.0,-29619094341.0,7448377435.0
,,,210.231.024.005,1.278.647.052.225,(804.208.544.315),684.669.531.915,210231024005.0,1278647052225.0,-804208544315.0,684669531915.0
