row_label_raw,row_label_full,col_0,31 tháng 12 năm 2025,31 tháng 12 năm 2025_1,31 tháng 12 năm 2024,31 tháng 12 năm 2024_1,numeric__31 tháng 12 năm 2025,numeric__31 tháng 12 năm 2025_1,numeric__31 tháng 12 năm 2024,numeric__31 tháng 12 năm 2024_1
,,,Giá gốcVND,Dự phòngVND,Giá gốcVND,Dự phòngVND,,,,
Khu Đô thị và Dịch vụ Tràng Cát,Khu Đô thị và Dịch vụ Tràng Cát,Khu Đô thị và Dịch vụ Tràng Cát,16.658.329.892.806,-,8.442.637.722.173,-,16658329892806.0,,8442637722173.0,
Khu Đô thị Phúc Ninh,Khu Đô thị Phúc Ninh,Khu Đô thị Phúc Ninh,1.123.809.766.172,-,1.119.329.422.009,-,1123809766172.0,,1119329422009.0,
Khu Công nghiệp Tân Phú Trung,Khu Công nghiệp Tân Phú Trung,Khu Công nghiệp Tân Phú Trung,975.259.369.728,-,984.142.101.887,-,975259369728.0,,984142101887.0,
Khu Công nghiệp Lộc Giang,Khu Công nghiệp Lộc Giang,Khu Công nghiệp Lộc Giang,1.818.761.452.488,-,58.385.285.024,-,1818761452488.0,,58385285024.0,
Nhà ở Xã hội Thị trấn Nénh,Nhà ở Xã hội Thị trấn Nénh,Nhà ở Xã hội Thị trấn Nénh,1.191.398.918.140,-,773.332.297.639,-,1191398918140.0,,773332297639.0,
Khu Công nghiệp Nam Sơn - Hạp Lĩnh,Khu Công nghiệp Nam Sơn - Hạp Lĩnh,Khu Công nghiệp Nam Sơn - Hạp Lĩnh,632.954.534.394,-,674.702.179.625,-,632954534394.0,,674702179625.0,
Nhà ở Xã hội Tràng Duệ,Nhà ở Xã hội Tràng Duệ,Nhà ở Xã hội Tràng Duệ,487.619.454.707,-,332.221.286.628,-,487619454707.0,,332221286628.0,
Khu Đô thị Tràng Duệ,Khu Đô thị Tràng Duệ,Khu Đô thị Tràng Duệ,276.366.909.401,-,285.119.288.646,-,276366909401.0,,285119288646.0,
Khu Công nghiệp Tràng Duệ,Khu Công nghiệp Tràng Duệ,Khu Công nghiệp Tràng Duệ,851.025.610.942,-,19.850.819.981,-,851025610942.0,,19850819981.0,
Cụm Công nghiệp Đặng Lễ,Cụm Công nghiệp Đặng Lễ,Cụm Công nghiệp Đặng Lễ,159.406.033.231,-,387.734.759.919,-,159406033231.0,,387734759919.0,
Cụm Công nghiệp Kim Động,Cụm Công nghiệp Kim Động,Cụm Công nghiệp Kim Động,199.835.971.033,-,187.895.019.577,-,199835971033.0,,187895019577.0,
Cụm Công nghiệp Chính Nghĩa,Cụm Công nghiệp Chính Nghĩa,Cụm Công nghiệp Chính Nghĩa,125.776.222.995,-,198.704.624.645,-,125776222995.0,,198704624645.0,
"Dự án Khu phức hợp đỏ thị, du lịch sinh thái,sân gôn Khoái Châu","Dự án Khu phức hợp đỏ thị, du lịch sinh thái,sân gôn Khoái Châu","Dự án Khu phức hợp đỏ thị, du lịch sinh thái,sân gôn Khoái Châu",739.121.172.928,-,-,-,739121172928.0,,,
Khu Công nghiệp Kim Thành 2,Khu Công nghiệp Kim Thành 2,Khu Công nghiệp Kim Thành 2,519.951.121.776,-,-,-,519951121776.0,,,
Các dự án khác,Các dự án khác,Các dự án khác,1.313.511.310.096,-,385.619.134.115,-,1313511310096.0,,385619134115.0,
,,,27.073.127.740.837,-,13.849.673.941.868,-,27073127740837.0,,13849673941868.0,
