row_label_raw,row_label_full,col_0,Năm kết thúc ngày31 tháng 12 năm 2025VND,Năm kết thúc ngày31 tháng 12 năm 2024VND,numeric__Năm kết thúc ngày31 tháng 12 năm 2025VND,numeric__Năm kết thúc ngày31 tháng 12 năm 2024VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,2.929.343.169.404,722.526.717.522,2929343169404.0,722526717522.0
Các khoản điều chỉnh cho:,Các khoản điều chỉnh cho:,Các khoản điều chỉnh cho:,Các khoản điều chỉnh cho:,Các khoản điều chỉnh cho:,,
Chi phí không được khấu trừ,Các khoản điều chỉnh cho: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,173.972.458.212,384.642.251.573,173972458212.0,384642251573.0
Lãi vay vượt mức quy định theo Nghị định số 132/2020/NĐ-CP,Các khoản điều chỉnh cho: > Lãi vay vượt mức quy định theo Nghị định số 132/2020/NĐ-CP,Lãi vay vượt mức quy định theo Nghị định số 132/2020/NĐ-CP,741.414.353.114,347.973.678.335,741414353114.0,347973678335.0
Thu nhập chịu thuế cho hoạt động cho thuê đất,Các khoản điều chỉnh cho: > Thu nhập chịu thuế cho hoạt động cho thuê đất,Thu nhập chịu thuế cho hoạt động cho thuê đất,22.369.011.395,(50.413.172.778),22369011395.0,-50413172778.0
Lỗ của hoạt động khác không được bù trừ vào lợi nhuận của hoạt động kinh doanh bất động sản,Các khoản điều chỉnh cho: > Lỗ của hoạt động khác không được bù trừ vào lợi nhuận của hoạt động kinh doanh bất động sản,Lỗ của hoạt động khác không được bù trừ vào lợi nhuận của hoạt động kinh doanh bất động sản,4.933.722.458,-,4933722458.0,
Điều chỉnh khác,Các khoản điều chỉnh cho: > Điều chỉnh khác,Điều chỉnh khác,945.805.496,-,945805496.0,
(Hoàn nhập)/Dự phòng cho công ty liên kết,Các khoản điều chỉnh cho: > (Hoàn nhập)/Dự phòng cho công ty liên kết,(Hoàn nhập)/Dự phòng cho công ty liên kết,(29.260.361.951),189.393.984.035,-29260361951.0,189393984035.0
Lãi từ công ty liên kết,Các khoản điều chỉnh cho: > Lãi từ công ty liên kết,Lãi từ công ty liên kết,(192.026.722.711),(15.912.953.359),-192026722711.0,-15912953359.0
Lãi từ giao dịch mua rè khi mua công ty con,Các khoản điều chỉnh cho: > Lãi từ giao dịch mua rè khi mua công ty con,Lãi từ giao dịch mua rè khi mua công ty con,(327.379.894.043),-,-327379894043.0,
Lỗ các nằm trước chuyển sang,Các khoản điều chỉnh cho: > Lỗ các nằm trước chuyển sang,Lỗ các nằm trước chuyển sang,(52.388.059.836),(418.619.532.900),-52388059836.0,-418619532900.0
Các điều chỉnh phát sinh khi hợp nhất báo cáo tài chính,Các khoản điều chỉnh cho: > Các điều chỉnh phát sinh khi hợp nhất báo cáo tài chính,Các điều chỉnh phát sinh khi hợp nhất báo cáo tài chính,412.110.924.325,135.478.523.439,412110924325.0,135478523439.0
Thu nhập tính thuế,Các khoản điều chỉnh cho: > Thu nhập tính thuế,Thu nhập tính thuế,3.684.034.405.863,1.295.069.495.867,3684034405863.0,1295069495867.0
Tổng chi phí thuế TNDN,Các khoản điều chỉnh cho: > Tổng chi phí thuế TNDN,Tổng chi phí thuế TNDN,717.848.435.775,295.380.490.601,717848435775.0,295380490601.0
