row_label_raw,row_label_full,Bên liên quanCho vay ngắn hạn > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn > Công ty Cổ phần Đầu tư Sài Gòn - Huế > Công ty TNHH Saigontel Long An > Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2 > Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng > Công ty Cổ phần Khu công nghiệpSài Gòn - Nhơn Hội > Ông Nguyễn Hoàng Kỳ Lân,31 tháng 12 năm 2025VNĐ > 479.761.922.396 > 322.540.000.000 > 240.700.000.000 > 1.700.000.000 > 12.521.929.895 > 441.450.000.000 > 232.460.000.000,Ngày đáo hạn > Tháng 1 đến tháng 10năm 2026 > Tháng 4 đến tháng 12năm 2026 > Tháng 2 đến tháng 12năm 2026 > 29 tháng 5 năm 2026 > Tháng 12 năm 2026 > Tháng 11 đến tháng 12năm 2026 > 23 tháng 12 năm 2026,"Lãi vay (%/năm) > 1%-12% > 5% - 12% > 4% - 6% > 10% > 6%-12% > 4%-8% > 2,5%",numeric__31 tháng 12 năm 2025VNĐ > 479.761.922.396 > 322.540.000.000 > 240.700.000.000 > 1.700.000.000 > 12.521.929.895 > 441.450.000.000 > 232.460.000.000,numeric__Ngày đáo hạn > Tháng 1 đến tháng 10năm 2026 > Tháng 4 đến tháng 12năm 2026 > Tháng 2 đến tháng 12năm 2026 > 29 tháng 5 năm 2026 > Tháng 12 năm 2026 > Tháng 11 đến tháng 12năm 2026 > 23 tháng 12 năm 2026,"numeric__Lãi vay (%/năm) > 1%-12% > 5% - 12% > 4% - 6% > 10% > 6%-12% > 4%-8% > 2,5%"
,,,1.731.133.852.291,,,1731133852291.0,,
Bên liên quanCho vay ngắn hạn,Bên liên quanCho vay ngắn hạn,Bên liên quanCho vay ngắn hạn,31 tháng 12 năm 2024VNĐ,Ngày đáo hạn,Lãi vay (%/năm),,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Bên liên quanCho vay ngắn hạn > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,631.258.758.390,Tháng 1 đến tháng 12năm 2025,1-11%,631258758390.0,,
Công ty TNHH Saigontel Long An,Bên liên quanCho vay ngắn hạn > Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,50.000.000.000,Tháng 12 năm 2025,5%,50000000000.0,,0.05
Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2,Bên liên quanCho vay ngắn hạn > Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2,Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2,1.700.000.000,Tháng 11 đến tháng 12năm 2025,5-8%,1700000000.0,,
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Bên liên quanCho vay ngắn hạn > Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,205.521.929.893,Tháng 4 năm 2025,3%,205521929893.0,,0.03
Công ty Cổ phần Khu công nghiệpSài Gòn - Nhơn Hội,Bên liên quanCho vay ngắn hạn > Công ty Cổ phần Khu công nghiệpSài Gòn - Nhơn Hội,Công ty Cổ phần Khu công nghiệpSài Gòn - Nhơn Hội,461.450.000.000,Tháng 4 đến tháng 12năm 2025,6-12%,461450000000.0,,
Ông Nguyễn Hoàng Kỳ Lân,Bên liên quanCho vay ngắn hạn > Ông Nguyễn Hoàng Kỳ Lân,Ông Nguyễn Hoàng Kỳ Lân,232.460.000.000,Tháng 1 đến tháng 3năm 2025,1-10%,232460000000.0,,
,,,1.582.390.688.283,,,1582390688283.0,,
