row_label_raw,row_label_full,col_0,Năm,numeric__Năm
Nhà xưởng,Nhà xưởng,Nhà xưởng,6 - 10,
Chi phí phát triển đất và cơ sở hạ tầng,Chi phí phát triển đất và cơ sở hạ tầng,Chi phí phát triển đất và cơ sở hạ tầng,30 - 44,
