row_label_raw,row_label_full,Tại ngày 31/12/2016,Từ 1 năm trở xuốngVND > Tại ngày 31/12/2016,Trên 1 năm đến 5 nămVND > Tại ngày 31/12/2016,CộngVND > Tại ngày 31/12/2016,numeric__Từ 1 năm trở xuốngVND > Tại ngày 31/12/2016,numeric__Trên 1 năm đến 5 nămVND > Tại ngày 31/12/2016,numeric__CộngVND > Tại ngày 31/12/2016
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,16.297.785.702,-,16.297.785.702,16297785702.0,,16297785702.0
"Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",338.219.967.243,-,338.219.967.243,338219967243.0,,338219967243.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,631.255.547.916,-,631.255.547.916,631255547916.0,,631255547916.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,15.673.905.000,,15.673.905.000,15673905000.0,,15673905000.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,-,31.491.200.000,31.491.200.000,,31491200000.0,31491200000.0
,,,1.001.447.205.861,31.491.200.000,1.032.938.405.861,1001447205861.0,31491200000.0,1032938405861.0
Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,23.244.347.477,-,23.244.347.477,23244347477.0,,23244347477.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2016 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",424.786.969.549,-,424.786.969.549,424786969549.0,,424786969549.0
Các khoản cho vay,Tại ngày 01/01/2016 > Các khoản cho vay,Các khoản cho vay,812.122.849.289,-,812.122.849.289,812122849289.0,,812122849289.0
Đầu tư ngắn hạn,Tại ngày 01/01/2016 > Đầu tư ngắn hạn,Đầu tư ngắn hạn,53.432.265.200,-,53.432.265.200,53432265200.0,,53432265200.0
Đầu tư dài hạn,Tại ngày 01/01/2016 > Đầu tư dài hạn,Đầu tư dài hạn,-,31.491.200.000,31.491.200.000,,31491200000.0,31491200000.0
,,,1.313.586.431.515,31.491.200.000,1.345.077.631.515,1313586431515.0,31491200000.0,1345077631515.0
