row_label_raw,row_label_full,col_0,Giá trị ghi sổ kế toán > 31/12/2016,Giá trị ghi sổ kế toán > 01/01/2016,numeric__Giá trị ghi sổ kế toán > 31/12/2016,numeric__Giá trị ghi sổ kế toán > 01/01/2016
,,,VND,VND,,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,467.403.010.000,505.399.280.000,467403010000.0,505399280000.0
"Phải trả người bán, phải trả khác","Nợ phải trả tài chính > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",1.394.825.957.473,1.431.201.654.711,1394825957473.0,1431201654711.0
Chi phí phải trả,Nợ phải trả tài chính > Chi phí phải trả,Chi phí phải trả,176.140.647.099,124.914.499.266,176140647099.0,124914499266.0
Cộng,Nợ phải trả tài chính > Cộng,Cộng,2.038.369.614.572,2.061.515.433.977,2038369614572.0,2061515433977.0
