row_label_raw,row_label_full,Tên công ty liên kết,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty CP Chứng khoán Đại Dương,Công ty CP Chứng khoán Đại Dương,Công ty CP Chứng khoán Đại Dương,Hà Nội,"37,50%","37,50%",Kinh doanh chứng khoán,,0.375,0.375,
Công ty CP Đầu tư BOT Hà Nội - Bắc Giang,Công ty CP Đầu tư BOT Hà Nội - Bắc Giang,Công ty CP Đầu tư BOT Hà Nội - Bắc Giang,Bắc Ninh,"21,00%","21,00%","Xây dựng công trình đường sắt, đường bộ",,0.21,0.21,
Dầu tư vào đơn vị khácThông tin chỉ tiết về các khoản đầu tư vào đơn vị khác của Công ty vào ngày 31/12/2016 như sau:,Dầu tư vào đơn vị khácThông tin chỉ tiết về các khoản đầu tư vào đơn vị khác của Công ty vào ngày 31/12/2016 như sau:,Dầu tư vào đơn vị khácThông tin chỉ tiết về các khoản đầu tư vào đơn vị khác của Công ty vào ngày 31/12/2016 như sau:,Dầu tư vào đơn vị khácThông tin chỉ tiết về các khoản đầu tư vào đơn vị khác của Công ty vào ngày 31/12/2016 như sau:,Dầu tư vào đơn vị khácThông tin chỉ tiết về các khoản đầu tư vào đơn vị khác của Công ty vào ngày 31/12/2016 như sau:,Dầu tư vào đơn vị khácThông tin chỉ tiết về các khoản đầu tư vào đơn vị khác của Công ty vào ngày 31/12/2016 như sau:,Dầu tư vào đơn vị khácThông tin chỉ tiết về các khoản đầu tư vào đơn vị khác của Công ty vào ngày 31/12/2016 như sau:,,,,
Tên công ty nhận đầu tư,Tên công ty nhận đầu tư,Tên công ty nhận đầu tư,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,,,,
Công ty CP Máy tính và Truyền thông Việt Nam,Tên công ty nhận đầu tư > Công ty CP Máy tính và Truyền thông Việt Nam,Công ty CP Máy tính và Truyền thông Việt Nam,Hà Nội,"16,40%","16,40%","Thiết bị máy tính, phần mềm máy tính.",,0.16399999999999998,0.16399999999999998,
