row_label_raw,row_label_full,Mã số CHỈ TIÊU,Mã số CHỈ TIÊU_1,Thuyết minh,Năm 2016 > VND,Năm 2015 > VND,numeric__Mã số CHỈ TIÊU_1,numeric__Thuyết minh,numeric__Năm 2016 > VND,numeric__Năm 2015 > VND
I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận trước thuế,,(767.549.293.334),713.788.392.454,,,-767549293334.0,713788392454.0
01,01,01,Điều chỉnh cho các khoản,,,,,,,
02,01 > 02,02,- Khấu hao tài sản cố định và bất động sản đầu tư,,8.580.244.250,904.917.816,,,8580244250.0,904917816.0
03,01 > 03,03,- Các khoản dự phòng,,781.537.323.231,522.463.463.522,,,781537323231.0,522463463522.0
05,01 > 05,05,- Lãi/lỗ từ hoạt động đầu tư,,(53.756.463.304),(1.596.969.073.284),,,-53756463304.0,-1596969073284.0
06,01 > 06,06,- Chi phí lãi vay,,61.708.258.826,139.617.693.562,,,61708258826.0,139617693562.0
08,01 > 08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,30.520.069.669,(220.194.605.930),,,30520069669.0,-220194605930.0
09,01 > 09,09,- Tăng/giảm các khoản phải thu,,135.385.601.392,234.076.168.595,,,135385601392.0,234076168595.0
10,01 > 10,10,- Tăng/giảm hàng tồn kho,,3.082.784.684,1.037.841.685,,,3082784684.0,1037841685.0
