row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nămđến 5 năm,Mẫu B09 - DNCộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nămđến 5 năm,numeric__Mẫu B09 - DNCộng
,,,VND,VND,VND,,,
Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,Tại ngày 31/12/2016,,,
Vay và nợ,Tại ngày 31/12/2016 > Vay và nợ,Vay và nợ,467.403.010.000,-,467.403.010.000,467403010000.0,,467403010000.0
"Phải trả người bán, phải trả khác","Tại ngày 31/12/2016 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",674.446.174.585,720.379.782.888,1.394.825.957.473,674446174585.0,720379782888.0,1394825957473.0
Chi phí phải trả,Tại ngày 31/12/2016 > Chi phí phải trả,Chi phí phải trả,176.140.647.099,-,176.140.647.099,176140647099.0,,176140647099.0
,,,1.317.989.831.684,720.379.782.888,2.038.369.614.572,1317989831684.0,720379782888.0,2038369614572.0
Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,Tại ngày 01/01/2016,,,
Vay và nợ,Tại ngày 01/01/2016 > Vay và nợ,Vay và nợ,505.399.280.000,-,505.399.280.000,505399280000.0,,505399280000.0
"Phải trả người bán, phải trả khác","Tại ngày 01/01/2016 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",696.292.988.138,734.908.666.573,1.431.201.654.711,696292988138.0,734908666573.0,1431201654711.0
Chi phí phải trả,Tại ngày 01/01/2016 > Chi phí phải trả,Chi phí phải trả,124.914.499.266,-,124.914.499.266,124914499266.0,,124914499266.0
,,,1.326.606.767.404,734.908.666.573,2.061.515.433.977,1326606767404.0,734908666573.0,2061515433977.0
