row_label_raw,row_label_full,Chỉ tiêu,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
A,A,A,1,2,3,4,5,1.0,2.0,3.0,4.0,5.0
1. Số dư tại ngày 01 tháng 01 năm 2021,1. Số dư tại ngày 01 tháng 01 năm 2021,1. Số dư tại ngày 01 tháng 01 năm 2021,2.993.097.200.000,50.510.908.328,6.196.436.959,(1.107.867.556.385),1.941.936.988.902,2993097200000.0,50510908328.0,6196436959.0,-1107867556385.0,1941936988902.0
2. Tăng trong năm trước,2. Tăng trong năm trước,2. Tăng trong năm trước,-,-,-,36.689.450.527,36.689.450.527,,,,36689450527.0,36689450527.0
- Lãi trong năm,- Lãi trong năm,- Lãi trong năm,-,-,-,36.689.450.527,36.689.450.527,,,,36689450527.0,36689450527.0
3. Giảm trong năm trước,3. Giảm trong năm trước,3. Giảm trong năm trước,-,-,-,-,-,,,,,
4. Số dư tại ngày 31 tháng 12 năm 2021,3. Giảm trong năm trước > 4. Số dư tại ngày 31 tháng 12 năm 2021,4. Số dư tại ngày 31 tháng 12 năm 2021,2.993.097.200.000,50.510.908.328,6.196.436.959,(1.071.178.105.858),1.978.626.439.429,2993097200000.0,50510908328.0,6196436959.0,-1071178105858.0,1978626439429.0
5. Số dư tại ngày 01 tháng 01 năm 2022,3. Giảm trong năm trước > 5. Số dư tại ngày 01 tháng 01 năm 2022,5. Số dư tại ngày 01 tháng 01 năm 2022,2.993.097.200.000,50.510.908.328,6.196.436.959,(1.071.178.105.858),1.978.626.439.429,2993097200000.0,50510908328.0,6196436959.0,-1071178105858.0,1978626439429.0
6. Tăng trong năm nay,6. Tăng trong năm nay,6. Tăng trong năm nay,-,-,-,-,-,,,,,
7. Giảm trong năm nay,6. Tăng trong năm nay > 7. Giảm trong năm nay,7. Giảm trong năm nay,-,-,-,(1.133.302.354.665),(1.133.302.354.665),,,,-1133302354665.0,-1133302354665.0
- Lỗ trong năm,6. Tăng trong năm nay > - Lỗ trong năm,- Lỗ trong năm,-,-,-,(1.133.302.354.665),(1.133.302.354.665),,,,-1133302354665.0,-1133302354665.0
8. Số dư tại ngày 31 tháng 12 năm 2022,6. Tăng trong năm nay > 8. Số dư tại ngày 31 tháng 12 năm 2022,8. Số dư tại ngày 31 tháng 12 năm 2022,2.993.097.200.000,50.510.908.328,6.196.436.959,(2.204.480.460.523),845.324.084.764,2993097200000.0,50510908328.0,6196436959.0,-2204480460523.0,845324084764.0
