row_label_raw,row_label_full,Số dư đầu năm > Phát sinh trong năm > Phân bổ trong năm,Năm nay > 1.930.008.849 > - > (44.491.312),Năm trước > 1.969.231.582 > 21.727.273 > (60.950.006),numeric__Năm nay > 1.930.008.849 > - > (44.491.312),numeric__Năm trước > 1.969.231.582 > 21.727.273 > (60.950.006)
Giảm khác,Giảm khác,Giảm khác,(1.874.653.900),-,-1874653900.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,10.863.637,1.930.008.849,10863637.0,1930008849.0
