row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ vốn góp,Tỷ lệ vốn góp_1,Tỷ lệ phần sở hữu,Tỷ lệ phần sở hữu_1,Tỷ lệ quyền biểu quyết,Tỷ lệ quyền biểu quyết_1,numeric__Tên công ty,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ vốn góp,numeric__Tỷ lệ vốn góp_1,numeric__Tỷ lệ phần sở hữu,numeric__Tỷ lệ phần sở hữu_1,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ quyền biểu quyết_1
STT,STT,STT,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Đầu năm,Cuối năm,Đầu năm,Cuối năm,Đầu năm,Cuối năm,,,,,,,,,
1.,STT > 1.,1.,Công ty CP Bến xe Liên tính Phía Nam Thành phố Đà Nẵng,"Thôn Quá Giáng, Xã Hoà Phước, Huyện Hoà Vang, Thành phố Đà Nẵng","Dịch vụ bến xe, bãi đỡ xe, xây dựng công trình đán dụng, giao thông",100%,"0,00%",100%,"0,00%","85,00%","0,00%",,,,1.0,0.0,1.0,0.0,0.85,0.0
2.,STT > 2.,2.,Công ty CP BOT & BT Đức Long Đắk Nông,"04 Điện Biên Phù, Tổ 3, P. Nghĩa Trung, TP Gia Nghĩa, Đắk Nông",Xây dựng công trình đường sắt và đường bộ,"70,6%","70,6%","70,6%","70,6%","70,6%","70,6%",,,,0.706,0.706,0.706,0.706,0.706,0.706
3..,STT > 3..,3..,Công ty CP BOT & BT Đức Long Gia Lai,"782 Hùng Vương, T.trấn Chư Sê, H.Chư Sê, Tỉnh Gia Lai",Đầu tư xây dựng công trình giao thông theo hình thức BOT,"73,50%","73,50%","73,50%","73,50%","73,50%","73,50%",,,,0.735,0.735,0.735,0.735,0.735,0.735
