row_label_raw,row_label_full,Chi tiết gồm:,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
- Chi phí công trình xây lắp,- Chi phí công trình xây lắp,- Chi phí công trình xây lắp,82.375.830.788,82.375.830.788,82375830788.0,82375830788.0
- Chi phí lãi vay,- Chi phí lãi vay,- Chi phí lãi vay,272.851.195.473,212.231.961.741,272851195473.0,212231961741.0
Cộng (*),Cộng (*),Cộng (*),355.227.026.261,294.607.792.529,355227026261.0,294607792529.0
