row_label_raw,row_label_full,- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai,Số cuối năm > 152.489.858.000,Số đầu năm > 152.489.858.000,numeric__Số cuối năm > 152.489.858.000,numeric__Số đầu năm > 152.489.858.000
- Ngân hàng TMCP Sài Gòn Thương Tín - CN Gia Lai,- Ngân hàng TMCP Sài Gòn Thương Tín - CN Gia Lai,- Ngân hàng TMCP Sài Gòn Thương Tín - CN Gia Lai,55.174.137.200,55.174.137.200,55174137200.0,55174137200.0
- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,-,48.283.000.000,,48283000000.0
- Ngân hàng TMCP Sài Gòn Thương Tín - CN Tp. HCM,- Ngân hàng TMCP Sài Gòn Thương Tín - CN Tp. HCM,- Ngân hàng TMCP Sài Gòn Thương Tín - CN Tp. HCM,178.012.997.289,178.012.997.289,178012997289.0,178012997289.0
- Công ty CP Đầu tư Phát triển địa ốc Gia Long,- Công ty CP Đầu tư Phát triển địa ốc Gia Long,- Công ty CP Đầu tư Phát triển địa ốc Gia Long,6.564.844.423,6.564.844.423,6564844423.0,6564844423.0
Cộng,Cộng,Cộng,392.241.836.912,440.524.836.912,392241836912.0,440524836912.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,35.200.000.000,56.191.180.000,35200000000.0,56191180000.0
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,357.041.836.912,384.333.656.912,357041836912.0,384333656912.0
