row_label_raw,row_label_full,Số đầu năm,Năm nay > (306.529.063.019),Năm trước > (356.187.585.692),numeric__Năm nay > (306.529.063.019),numeric__Năm trước > (356.187.585.692)
Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,(1.180.652.511.960),(92.744.504.710),-1180652511960.0,-92744504710.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,66.176.613.959,142.403.027.383,66176613959.0,142403027383.0
Số cuối năm,Số cuối năm,Số cuối năm,(1.421.004.961.020),(306.529.063.019),-1421004961020.0,-306529063019.0
