row_label_raw,row_label_full,\( \overline{S}TT \),Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ vốn góp,Tỷ lệ vốn góp_1,Tỷ lệ phần sở hữu,Tỷ lệ phần sở hữu_1,Tỷ lệ quyền biểu quyết,Tỷ lệ quyền biểu quyết_1,numeric__Tên công ty,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ vốn góp,numeric__Tỷ lệ vốn góp_1,numeric__Tỷ lệ phần sở hữu,numeric__Tỷ lệ phần sở hữu_1,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ quyền biểu quyết_1
\( \overline{S}TT \),\( \overline{S}TT \),\( \overline{S}TT \),Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Đầu năm,Cuối năm,Đầu năm,Cuối năm,Đầu năm,Cuối năm,,,,,,,,,
1.,\( \overline{S}TT \) > 1.,1.,Công ty CP Tư vấn và Xây dựng Giao thông Gia Lai,"170 Trường Chính, Phường Trà Bá, Thành phố Pleiku, Tinh Gia Lai","Tư vấn và đầu tư xây dựng các công trình giao thông, hạ tầng đô thị; Khảo sát địa hình, địa chất, thủy văn; Lập dự án khả thi, tiền khả thi, báo cáo đầu tư; Thiết kế kỹ thuật, bản về thi công, tổng dự toán, lập dự toán; Giám sát kỹ thuật thi công, quản lý dự án; Thi công xây lắp các công trình; Tư vấn đầu tư xây dựng các công trình xây dựng khác.","20,00%","20,00%","20,00%","20,00%","20,00%","20,00%",,,,0.2,0.2,0.2,0.2,0.2,0.2
2.,\( \overline{S}TT \) > 2.,2.,Công ty CP Đức Long Tây Nguyên,"117-119-121 Trần Phú, Phường Diện Hồng, Thành phố Pleiku, Tinh Gia Lai","Sản xuất sắt, thép, gang; Trồng rừng và chăm sóc rừng; Trồng cây cao su; Khai thác quặng kim loại khác không chứa sắt; Khai thác quặng sắt; Khai thác đá, cát sỏi, đất sét; Chăn nuôi trâu, bò; Sản xuất xi măng, vôi và thạch cao; Đức sắt thép; Cắt tạo dáng và hoàn thiện đá; Sản xuất kim loại màu và kim loại quý; Đức kim loại màu; Chăn nuôi dê, cứu; Chăn nuôi lợn.","40,00%","0,00%","0,00%","0,00%","40,00%","0,00%",,,,0.4,0.0,0.0,0.0,0.4,0.0
3.,\( \overline{S}TT \) > 3.,3.,Công ty CP DLG CY Việt Nam,"149-151 đường số 9A Khu dân cư Trung Sơn, xã Bình Hưng, Huyện Bình Chánh , Tp,Hồ Chí Minh","Sản xuất linh kiện điện tử; Xây dựng công trình; Bán buôn thiết bị và linh kiện điện tử, viễn thông; Tư vấn, môi giới, dấu giá Bất động sản, dấu giá quyền sử dụng đất.","40,00%","0,00%","0,00%","0,00%","40,00%","0,00%",,,,0.4,0.0,0.0,0.0,0.4,0.0
