row_label_raw,row_label_full,Nội dung > Tổ chức thu xếp phát hành:Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai,Số cuối năm > 477.439.831.456,Số đầu năm > 488.439.831.456,numeric__Số cuối năm > 477.439.831.456,numeric__Số đầu năm > 488.439.831.456
Trái phiếu phải trả do không chuyển đổi,Trái phiếu phải trả do không chuyển đổi,Trái phiếu phải trả do không chuyển đổi,374.500.000,374.500.000,374500000.0,374500000.0
Chi phí phát hành trái phiếu chưa phân bổ,Chi phí phát hành trái phiếu chưa phân bổ,Chi phí phát hành trái phiếu chưa phân bổ,,(516.303.317),,-516303317.0
Cộng,Cộng,Cộng,477.814.331.456,488.298.028.139,477814331456.0,488298028139.0
