row_label_raw,row_label_full,col_0,Vốn điều lệ của các Công ty nhận đầu tư,Trong đó: Công ty cam kết góp > Tỷ lệ,Trong đó: Công ty cam kết góp > Vốn cam kết góp,Vốn góp thực tế (theo mệnh giá) của Công ty đến ngày 31/12/2022,Vốn góp thiếu,numeric__Vốn điều lệ của các Công ty nhận đầu tư,numeric__Trong đó: Công ty cam kết góp > Tỷ lệ,numeric__Trong đó: Công ty cam kết góp > Vốn cam kết góp,numeric__Vốn góp thực tế (theo mệnh giá) của Công ty đến ngày 31/12/2022,numeric__Vốn góp thiếu
Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,896.372.401.456,,753.446.985.508,753.446.985.508,-,896372401456.0,,753446985508.0,753446985508.0,
- Công ty CP BOT & BT Đức Long ĐắK Nông,- Công ty CP BOT & BT Đức Long ĐắK Nông,- Công ty CP BOT & BT Đức Long ĐắK Nông,250.000.000.000,"70,60%",176.500.000.000,176.500.000.000,-,250000000000.0,0.706,176500000000.0,176500000000.0,
- Công ty CP BOT & BT Đức Long Gia Lai,- Công ty CP BOT & BT Đức Long Gia Lai,- Công ty CP BOT & BT Đức Long Gia Lai,203.810.000.000,"73,50%",149.800.000.000,149.800.000.000,-,203810000000.0,0.735,149800000000.0,149800000000.0,
- Công ty TNHH Mass Noble Investment Limited,- Công ty TNHH Mass Noble Investment Limited,- Công ty TNHH Mass Noble Investment Limited,320.062.401.456,"97,73%",312.796.985.508,312.796.985.508,-,320062401456.0,0.9773000000000001,312796985508.0,312796985508.0,
- Công ty CP Đầu tư và Phát triển Điện năng ĐLGL,- Công ty CP Đầu tư và Phát triển Điện năng ĐLGL,- Công ty CP Đầu tư và Phát triển Điện năng ĐLGL,122.500.000.000,"93,35%",114.350.000.000,114.350.000.000,-,122500000000.0,0.9335,114350000000.0,114350000000.0,
"Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết",2.961.000.000,,592.200.000,592.200.000,-,2961000000.0,,592200000.0,592200000.0,
- Công ty CP tư vấn và Xây dựng Giao thông Gia Lai,- Công ty CP tư vấn và Xây dựng Giao thông Gia Lai,- Công ty CP tư vấn và Xây dựng Giao thông Gia Lai,2.961.000.000,"20,00%",592.200.000,592.200.000,-,2961000000.0,0.2,592200000.0,592200000.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,12.000.000.000,,480.000.000,480.000.000,-,12000000000.0,,480000000.0,480000000.0,
- Công ty CP Dịch vụ Công Cộng Đức Long Bảo Lộc,- Công ty CP Dịch vụ Công Cộng Đức Long Bảo Lộc,- Công ty CP Dịch vụ Công Cộng Đức Long Bảo Lộc,12.000.000.000,"4,00%",480.000.000,480.000.000,-,12000000000.0,0.04,480000000.0,480000000.0,
Cộng,Cộng,Cộng,911.333.401.456,,754.519.185.508,754.519.185.508,-,911333401456.0,,754519185508.0,754519185508.0,
