row_label_raw,row_label_full,Tên ngân hàng và tổ chức,Số tiền,Thời hạn thanh toánvà ngày đáo hạn,Lãi suất,Tài sản thể chấp,numeric__Số tiền,numeric__Thời hạn thanh toánvà ngày đáo hạn,numeric__Lãi suất,numeric__Tài sản thể chấp
Công ty CP BOT và BT Đức Long Gia lai,Công ty CP BOT và BT Đức Long Gia lai,Công ty CP BOT và BT Đức Long Gia lai,Công ty CP BOT và BT Đức Long Gia lai,Công ty CP BOT và BT Đức Long Gia lai,Công ty CP BOT và BT Đức Long Gia lai,Công ty CP BOT và BT Đức Long Gia lai,,,,
Hợp đồng vay vốn số01/HĐVV ngày 01/01/2016 vàPhụ lực hợp đồng số 06/PL -HĐVV ngày 01/07/2021,Công ty CP BOT và BT Đức Long Gia lai > Hợp đồng vay vốn số01/HĐVV ngày 01/01/2016 vàPhụ lực hợp đồng số 06/PL -HĐVV ngày 01/07/2021,Hợp đồng vay vốn số01/HĐVV ngày 01/01/2016 vàPhụ lực hợp đồng số 06/PL -HĐVV ngày 01/07/2021,20.057.027.370,Từ ngày giải ngân đàutiền đến hết ngày31/12/2021,"8,5%/năm",Tín chấp,20057027370.0,,,
Tổng cộng,Công ty CP BOT và BT Đức Long Gia lai > Tổng cộng,Tổng cộng,20.057.027.370,,,,20057027370.0,,,
Tên ngân hàng và tổ chức,Tên ngân hàng và tổ chức,Tên ngân hàng và tổ chức,Số tiền,Thời hạn thanh toánvà ngày đáo hạn,Lãi suất,Tài sản thể chấp,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai,,,,
Hợp đồng tín dụng hạn mứcsố 01/2017/370018/HĐTDngày 11/10/2017,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Gia Lai > Hợp đồng tín dụng hạn mứcsố 01/2017/370018/HĐTDngày 11/10/2017,Hợp đồng tín dụng hạn mứcsố 01/2017/370018/HĐTDngày 11/10/2017,176.254.815.400,Từ ngày 11/10/2017đến hết ngày 31/8/2018,Lãi suất vay được xác định trongtùng Hợp đồng tín dụng cụ thể.,"Máy móc, thiết bị chế biến gỗ thuộc sở hữucủa Công ty (xem thuyết minh V.9) và tàisản của ông Nguyễn Đình Trạc bảo lãnh(người quản lý công ty con) (xem thuyếtminh VII.3c)",176254815400.0,,,
Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai,,,,
Hợp đồng cho vay hạn mức số01/2018-HĐCVHM/NHCT500-DUCLONG ngày 02/01/2018,Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Hợp đồng cho vay hạn mức số01/2018-HĐCVHM/NHCT500-DUCLONG ngày 02/01/2018,Hợp đồng cho vay hạn mức số01/2018-HĐCVHM/NHCT500-DUCLONG ngày 02/01/2018,22.605.060.130,Từ ngày 02/01/2018đến hết ngày đến hếtngày 31/12/2018,"Lãi suất vay trong bất kỳ kỳ hạn tínhlãi nào là lãi suất ngày và bằng tổngcủa lãi suất cơ sở cộng biên độ tốithiếu 3,5%/năm. Lãi suất vay tại thờiđiểm ký hop đồng là 9%/năm và chicó giá trị cho kỳ tính lãi đầu tiên.","Dược bảo lãnh bởi ông Bùi Pháp (Chủ tịchHĐQT) và Bà Nguyễn Thị Hương (ngườicó liên quan đến ông Bùi Pháp) (xem thuyếtminh VII.3c), Công ty CP Đầu tư và Pháttriển Điện năng ĐLGL (Công ty con) (xemthuyết minh VII.3d) và một số phương tiệnvận tải khác thuộc sở hữu của Công ty (xemthuyết minh V.9).",22605060130.0,,,
Tổng cộng,Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Tổng cộng,Tổng cộng,198.859.875.530,,,,198859875530.0,,,
