row_label_raw,row_label_full,Tiền lương > Ông Nguyễn Tường Cọt > Ông Trần Cao Châu,Chức vụ > Tổng Giám đốc bổ nhiệm ngày 01/10/2021 > Tổng Giám đốc miễn nhiệm ngày 30/09/2021,Năm nay > 184.693.733 > -,Năm trước > 72.948.718 > 328.490.028,numeric__Chức vụ > Tổng Giám đốc bổ nhiệm ngày 01/10/2021 > Tổng Giám đốc miễn nhiệm ngày 30/09/2021,numeric__Năm nay > 184.693.733 > -,numeric__Năm trước > 72.948.718 > 328.490.028
Bà Vũ Thị Hải,Bà Vũ Thị Hải,Bà Vũ Thị Hải,Phó Tổng Giám đốc,301.271.367,305.683.759,,301271367.0,305683759.0
Ông Phạm Minh Việt,Ông Phạm Minh Việt,Ông Phạm Minh Việt,Phó Tổng Giám đốc,440.000.000,421.200.000,,440000000.0,421200000.0
Ông Trần Văn Phương,Ông Trần Văn Phương,Ông Trần Văn Phương,Phó Tổng Giám đốc,325.000.000,308.000.000,,325000000.0,308000000.0
Ông Đỗ Thành Nhân,Ông Đỗ Thành Nhân,Ông Đỗ Thành Nhân,Trường phòng TC – KT kiểm phụ trách kế toán,231.739.495,233.855.412,,231739495.0,233855412.0
Cộng,Cộng,Cộng,,1.482.704.595,1.670.177.917,,1482704595.0,1670177917.0
