row_label_raw,row_label_full,STT,Bên liên quan khác,Mối quan hệ,numeric__Bên liên quan khác,numeric__Mối quan hệ
1.,1.,1.,Công ty CP Bến xe Liên tỉnh Phía Nam Thành phố Đà Nẵng,Công ty con đến ngày 10/11/2022,,
2.,2.,2.,Công ty CP BOT & BT Đức Long ĐãK Nông,Công ty con,,
3.,3.,3.,Công ty CP BOT & BT Đức Long Gia Lai,Công ty con,,
4.,4.,4.,Công ty TNHH Mass Noble Investment Limited,Công ty con,,
5.,5.,5.,Công ty CP Đầu tư và Phát triển Điện năng DLGL,Công ty con,,
6.,6.,6.,Công ty CP Năng Lượng Tân Thượng,Chung thành viên lãnh đạo,,
7.,7.,7.,Công ty CP Tư vấn và Xây dựng Giao thông Gia Lai,Công ty liên kết,,
8.,8.,8.,Công ty CP Đức Long Tây Nguyên,Công ty liên kết đến ngày 27/12/2022,,
9.,9.,9.,Công ty CP DLG CY Việt Nam,Công ty liên kết đến ngày 27/12/2022,,
10.,10.,10.,Công ty CP Dịch vụ Công Cộng Đức Long Bảo Lộc,Công ty góp vốn khác,,
11.,11.,11.,Công ty TNHH Đức Long Dung Quất,Chung thành viên lãnh đạo,,
12.,12.,12.,Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,Chung thành viên lãnh đạo,,
13.,13.,13.,Công ty CP Tập đoàn Alpha Seven,Chung cổ đông lớn,,
14.,14.,14.,Công ty TNHH Điện tử DLG Ansen,Chung cổ đông lớn,,
15.,15.,15.,Ông Nguyễn Đình Trạc,Người quản lý công ty con,,
16.,16.,16.,Ông Bùi Pháp,Chủ tịch HĐQT,,
17.,17.,17.,Bà Nguyễn Thị Hương,Người có liên quan đến Ông Bùi Pháp,,
