row_label_raw,row_label_full,col_0,Phần mềmmáy tínhVND,KhácVND,TổngVND,numeric__Phần mềmmáy tínhVND,numeric__KhácVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,13.661.782.685,2.220.106.877,15.881.889.562,13661782685.0,2220106877.0,15881889562.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,13.661.782.685,2.220.106.877,15.881.889.562,13661782685.0,2220106877.0,15881889562.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,6.779.061.311,1.340.833.710,8.119.895.021,6779061311.0,1340833710.0,8119895021.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,3.228.953.136,261.979.656,3.490.932.792,3228953136.0,261979656.0,3490932792.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,10.008.014.447,1.602.813.366,11.610.827.813,10008014447.0,1602813366.0,11610827813.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,6.882.721.374,879.273.167,7.761.994.541,6882721374.0,879273167.0,7761994541.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,3.653.768.238,617.293.511,4.271.061.749,3653768238.0,617293511.0,4271061749.0
