row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,,,,,,
Số dư đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Số dư đầu năm,Số dư đầu năm,5.000.000.000.000,196.652.770.150,16.549.131.827,557.558.074.954,546.793.075.362,6.317.553.052.293,5000000000000.0,196652770150.0,16549131827.0,557558074954.0,546793075362.0,6317553052293.0
Lợi nhuận trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,441.471.552.679,441.471.552.679,,,,,441471552679.0,441471552679.0
Trích Quỹ đầu tư phát triển,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,-,-,-,307.832.862,(307.832.862),-,,,,307832862.0,-307832862.0,
Chuyển Quỹ đầu tư phát triển về Lợi nhuận sau thuế chưa phân phối,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Chuyển Quỹ đầu tư phát triển về Lợi nhuận sau thuế chưa phân phối,Chuyển Quỹ đầu tư phát triển về Lợi nhuận sau thuế chưa phân phối,-,-,-,(276.000.000.000),276.000.000.000,-,,,,-276000000000.0,276000000000.0,
"Trích Quỹ khen thưởng, phúc lợi","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,(53.985.242.500),(53.985.242.500),,,,,-53985242500.0,-53985242500.0
Chia cổ tức (i),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Chia cổ tức (i),Chia cổ tức (i),-,-,-,-,(692.500.000.000),(692.500.000.000),,,,,-692500000000.0,-692500000000.0
Tài sản hình thành từ các quỹ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Tài sản hình thành từ các quỹ,Tài sản hình thành từ các quỹ,-,-,9.342.664.079,(9.342.664.079),-,-,,,9342664079.0,-9342664079.0,,
Số dư cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Số dư cuối năm,Số dư cuối năm,5.000.000.000.000,196.652.770.150,25.891.795.906,272.523.243.737,517.471.552.679,6.012.539.362.472,5000000000000.0,196652770150.0,25891795906.0,272523243737.0,517471552679.0,6012539362472.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,,,,,,
